Latitude,Longitude,Altitude
21.00486226868995,105.84137344909588,74.94277888350189
21.00492045736224,105.84136388019098,9.85656129475683
21.0051161197184,105.84136843826057,68.801857621409
21.004970755085605,105.84143213832438,128.07149428036064
21.00464225185621,105.84139594659922,-10.756490386091173
21.00467729242786,105.84111224325076,162.49750343337655
21.00516234463994,105.84142526732502,100.5289845643565
21.00444952723443,105.84159506108395,-3.595292393118143
21.004999656447456,105.84134291169656,-47.220305484719574
21.00493022323533,105.84151814707798,-86.73736622463912
21.004751408131796,105.84151363589966,-138.56595968920738
21.004866901522792,105.84121996426512,18.860699396580458
21.004838485408424,105.84164456423665,84.49908629711717
21.004949874017797,105.84182377846999,59.97943345922977
21.004857828148737,105.84158627514333,26.360397157259285
21.00494269185494,105.84124930612786,-90.45854244660586
21.00453513652178,105.84162101331303,134.04083896707743
21.00491703701425,105.84134995982623,1.312854123301804
21.004798800169215,105.84143441933648,-76.3004810065031
21.004744412926446,105.84166645619702,48.27811803203076
21.00471178119027,105.8411399363184,52.282493429258466
21.00481255584432,105.84148662128902,21.502884195186198
21.004842895287798,105.84152814158621,-12.109431510791183
21.0050322478584,105.84176208118568,-23.508602982386947
21.005019754097923,105.8414046194901,-23.731585080735385
21.004770253398977,105.8416255408035,-178.37162716779858
21.004811932056374,105.84160264538016,-11.805670413188636
21.004703383535052,105.8413231499018,-12.111203758046031
21.004696700897952,105.84174330293608,-40.912114940583706
21.004723086846887,105.84096222472672,127.65037988778204
21.00463922203348,105.84129328918203,147.79926510620862
21.0044245959439,105.84115334211252,-25.01946780923754
21.00456776361458,105.84156041810935,-158.1489143036306
21.004628874641845,105.84134340792015,8.253743385896087
21.00460589654837,105.84110297558298,-33.232050341553986
21.004252481254966,105.84142259457484,132.42310400679708
21.004662308025157,105.84103475653697,103.84028442483395
21.00440506055657,105.84140764575211,-76.2564248694107
21.004268612008357,105.8411124300029,-100.25670509692281
21.004315340760918,105.8407356739271,92.29974746890366
21.004036174840813,105.84137661840899,-78.9736930578947
21.004075625843953,105.84157164049451,-98.48750298283994
21.004187927962178,105.84122785639543,19.345632944256067
21.003966152150834,105.84097977772821,96.30031448509544
21.003943801393195,105.84138993394397,71.22496835887432
21.00395190502748,105.84111870788595,7.479943729005754
21.004086563813768,105.8415814026754,-117.9003694113344
21.003613935019732,105.84127553597435,60.69486978743225
21.00402417689955,105.84082619197491,72.44187131151557
21.00412232290235,105.84103498043878,42.24699230864644
21.003775533965484,105.84144786816236,-140.5640143044293
21.003856080765555,105.84121774140877,-95.40926737245172
21.003645995629107,105.84135611826962,59.56665812712163
21.003995563031307,105.84159260955109,34.88143590837717
21.003978792305535,105.84136368311202,6.830744378268719
21.003684747139843,105.84108219102666,-114.61026848200709
21.00372809917377,105.84130104632803,-143.3329118443653
21.003759662818556,105.84134723176832,23.854797339066863
21.003800264296224,105.8412900385352,-41.345516515895724
21.003520984172155,105.84158329652485,-15.59799496550113
21.003508264246765,105.84194561285933,24.85653657093644
21.003871459150915,105.84197242086923,127.02126314304769
21.00315362366402,105.84169836486322,38.3499249285087
21.003623104169492,105.84187633547687,18.53225838020444
21.00334391301796,105.84173306340206,35.58309424947947
21.00346700974126,105.84185075361988,32.294677131809294
21.003428421332494,105.84199432432129,62.41752596385777
21.003589329085802,105.84179147698357,0.9297851640731096
21.003951087535206,105.84199249414785,65.09494029171765
21.003888826618457,105.84244509795253,86.48492796253413
21.003323892997535,105.84178101709013,52.375719770789146
21.00354542576233,105.84201265282408,36.58449469693005
21.003174051524816,105.84218142309076,-127.5113680511713
21.003195291488673,105.84194962662156,-148.46451020613313
21.00387559568879,105.84235856205804,-4.1102412873879075
21.003822015456414,105.84285088314167,52.020794078707695
21.003623492906648,105.84249641529745,-53.94210517592728
21.003670594325794,105.84288645186429,-7.176535585895181
21.003332616372166,105.84276971648339,-25.673371207900345
21.003554506900407,105.84248220889363,51.96515528578311
21.003773672497793,105.84259130052406,42.07825985364616
21.00414327756343,105.84244027726663,-126.47522224858403
21.003963845882417,105.84257544078706,-149.53766792826355
21.00379359599651,105.84264848737405,-120.50296088214964
21.003848909674524,105.84296744453785,-99.36478101368994
21.003739640782527,105.84300305098286,-103.58961084112525
21.00350489755369,105.84301634852663,54.1952368915081
21.003734845655803,105.84322600672981,51.12864898983389
21.003533122354636,105.84360037592273,45.79430494364351
21.003369353231815,105.8440110929047,168.28798334859312
21.00321510858636,105.84370012925893,121.33574698865414
21.003739494239767,105.84377253776586,1.9670079024508595
21.00298525154169,105.84402834410169,59.579797219485044
21.002932389397543,105.84435568938666,262.27440563589334
21.0030150585112,105.84373052659998,78.89280791580677
21.003079084434507,105.84425045303621,73.50531578063965
21.003534364361276,105.84449960871288,-58.36874035745859
21.002932597315457,105.84360442512994,71.94804071169347
21.002773939810194,105.8438161720349,97.59719364345074
21.003331551017435,105.84396261067414,22.98613875731826
21.003201698428885,105.84412133253254,4.943618857301772
21.003066310475592,105.84440981621509,39.93428907357156
21.00321308558592,105.84400023031466,-154.1224159039557
21.00326437561491,105.8440903294493,-161.49624067544937
21.003340268150836,105.844017947173,224.3748254235834
21.002766641636715,105.84434427860211,14.730563597753644
21.003701337625397,105.84407953942991,-150.2019216697663
21.00305507462483,105.84494997394158,183.92017474398017
21.00302127104778,105.84465747492682,34.12610900308937
21.003089506995114,105.84491495224877,111.74063720926642
21.00323716271752,105.8444991826738,-122.6733400374651
21.0027385589112,105.84524403096397,119.86919441260397
21.002697502535927,105.8446408780207,120.96567131858319
21.002911772056937,105.84438833871323,40.92755850497633
