,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
0,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,05,0.0,16399,536473514190489.0,21.0,29.8,-628.9396362304688,0.6875,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,26.2,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735141903e+18,23257371.25691392,6.295641617999999,G,G05,2024-06-01 05:00:55+00:00,0,6136832.949998414,23890801.213066638,-9910739.558615725,-255.83013305913641,1227.456085143987,2860.7270503432774,-52385.27445113585,-0.0004089894782739068
1,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,06,0.0,16399,536473518931977.0,12.0,36.5,245.73573303222656,0.4415000081062317,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,32.9,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.401253273518932e+18,21835942.49157171,3.597509496,G,G06,2024-06-01 05:00:55+00:00,0,-7683354.755919614,12445752.171473553,22227181.431951284,-2297.1562353510567,-1600.4273429390369,112.95559045056645,72877.55374888044,-0.006134842174108603
2,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,09,0.0,16399,536473513299532.0,31.0,26.7,-79.13362121582031,0.8389999866485596,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,23.1,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735132995e+18,23524527.10876621,9.293566198,G,G09,2024-06-01 05:00:55+00:00,0,-24569957.985509925,6538650.727584333,7694323.609369388,755.3140246257162,-689.4946096446627,2961.2960460270547,65263.39554102165,0.004294389521867028
3,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,11,0.0,16399,536473519098372.0,7.0,40.8,-27.46889305114746,0.3500000238418579,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,37.2,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735190984e+18,21786057.02656051,2.098547206,G,G11,2024-06-01 05:00:55+00:00,0,5619935.097342061,19295426.22869406,17415855.563143734,-1854.4254644400462,-1200.3052143925859,1925.3722805126342,-202532.95075828736,-0.0025902666957327448
4,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,12,0.0,16399,536473515246408.0,12.0,35.9,-465.7437438964844,0.4760000109672546,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,32.3,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735152463e+18,22940867.168135166,3.597509496,G,G12,2024-06-01 05:00:55+00:00,0,11188362.989338126,14595323.080309771,18899991.2681594,-487.79389263235294,2412.4001044099427,-1546.2463239873164,-152978.66003140106,-0.000988391239162441
5,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,14,0.0,16399,536473511715096.0,31.0,27.0,695.1142578125,0.7820000052452087,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,23.4,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.401253273511715e+18,23999513.48254208,9.293566198,G,G14,2024-06-01 05:00:55+00:00,0,-13202741.817705873,16450832.233079337,-15976810.255262544,-31.69749040300313,-2060.7589411316067,-2112.076678076964,124300.69299445902,0.002760678978347372
6,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,17,0.0,16399,536473517923925.0,35.0,26.4,184.06155395507807,0.8330000042915344,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,22.8,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735179238e+18,22138171.662670337,10.49273603,G,G17,2024-06-01 05:00:55+00:00,0,-22174861.641746145,13630123.214296691,6117261.317721987,-751.0461706297748,62.5193834308285,-3057.228767608753,210002.20235780365,-0.001363298260911024
7,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,19,0.0,16399,536473522482858.0,24.0,29.1,24.909442901611328,0.7055000066757202,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,25.5,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735224827e+18,20771386.6682327,7.195018992,G,G19,2024-06-01 05:00:55+00:00,0,-16022525.06019645,15748769.895864494,13671776.687693851,-1754.3871495250123,381.23015241266455,-2501.7153461456833,146925.10969679302,0.0016018754565733013
8,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,20,0.0,16399,536473521579708.0,21.0,30.4,-326.3060607910156,0.6570000052452087,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,26.8,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735215795e+18,21042149.622939646,6.295641617999999,G,G20,2024-06-01 05:00:55+00:00,0,1931277.4836469782,26551910.84170875,1118846.318547169,-302.01759828017424,-103.9870441731434,3146.603578895934,112280.42460850412,-0.0004089894782739068
9,1717218055000,155839302000000,18,0.0,-1401097434289768911,0.7558927536010742,45.58578075375408,-12.019146758741083,9.190056237401162,196.0,22,0.0,16399,536473517830391.0,46.0,23.7,533.9545288085938,1.0230000019073486,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-0.76,20.1,0.0,0.0,0.0,0.0,C,557820104692300,GPS,1.4012532735917688e+18,1.4012532735178304e+18,22166184.269945856,13.790453068,G,G22,2024-06-01 05:00:55+00:00,0,-10074532.387834188,22918244.295978606,-8875482.161883099,-46.641740378365256,-1200.9027141425436,-2882.426452826781,-6410.232785365581,-0.0015337105435256515
