utcTimeMillis,Latitude,Longitude
1717828418000,21.00526546762048,105.84602803108739
1717828419000,21.005268320711973,105.8460910078927
1717828421000,21.00516488514532,105.84622662232442
1717828422000,21.00516378137492,105.8462893185222
1717828423000,21.005177135983068,105.84632570544402
1717828424000,21.0050868243355,105.84643744571
1717828425000,21.005082035194913,105.84649813029127
1717828426000,21.00508103135942,105.84653859455612
1717828427000,21.005028456903453,105.8465646554437
1717828428000,21.004994505315118,105.84661586456723
1717828429000,21.004990002328775,105.84666346147532
1717828430000,21.00498981111668,105.84670019990867
1717828431000,21.00499103866288,105.84675354396893
1717828432000,21.004984679260424,105.8468244065668
1717828433000,21.004972027383968,105.84685852566722
1717828434000,21.00497131956427,105.84687355996742
1717828435000,21.0049618083488,105.84685959698099
1717828436000,21.004968974108994,105.84688510317466
1717828437000,21.004975254918833,105.8469119833962
1717828438000,21.00499179608065,105.84694181393735
1717828439000,21.005010348257084,105.84698958709195
1717828440000,21.005040793038354,105.8470046675179
1717828442000,21.005095472292233,105.84705443659128
1717828443000,21.005147004051004,105.84707772629011
1717828444000,21.005220566859762,105.84712162161388
1717828445000,21.005263229628675,105.84713312534971
1717828446000,21.005306331254452,105.84718277651208
1717828447000,21.005382108254757,105.84720924349466
1717828448000,21.005481189330137,105.84721810116697
1717828449000,21.00555485885759,105.84722396823898
1717828450000,21.005612029045373,105.84721425604268
1717828451000,21.005656637432452,105.84723353557597
1717828452000,21.005733833835357,105.84724383807578
1717828454000,21.005792688755065,105.84725861522556
1717828455000,21.005894178033696,105.84725436065254
1717828456000,21.005993466384204,105.84723267863389
1717828457000,21.006089020234413,105.84723953312242
1717828458000,21.00616091590637,105.84723481271695
1717828459000,21.006226585343782,105.8472428412154
1717828460000,21.006289992456423,105.84721292515721
1717828461000,21.006305666945913,105.84716213879645
1717828462000,21.00632881875921,105.84719958863414
1717828463000,21.006411797410856,105.84716451244616
1717828464000,21.006474990926332,105.84716066699987
1717828465000,21.006538958287045,105.84716501782552
1717828466000,21.006600356819977,105.84717098805106
1717828468000,21.006722226548856,105.84731680694983
1717828469000,21.006742187034774,105.84725471146012
1717828470000,21.006914507228856,105.84724477608154
1717828472000,21.006935804328624,105.84727356708326
1717828473000,21.007014784671505,105.84728772356279
1717828475000,21.007108924951293,105.8472697144641
1717828476000,21.007207584806064,105.84727121595817
1717828477000,21.007300187641256,105.84725555242898
1717828478000,21.00736137463791,105.84726240518471
1717828479000,21.007415670774996,105.84728507972405
1717828480000,21.007563453276685,105.84740661599743
1717828481000,21.00764248680514,105.84737174688797
1717828482000,21.00769737725123,105.84733550454888
1717828483000,21.00772872844838,105.84734299450608
1717828485000,21.007775838571593,105.84737665145839
1717828486000,21.00782468852568,105.84739248110124
1717828488000,21.00789517504425,105.84746201772687
1717828489000,21.00797071969504,105.84749278159579
1717828490000,21.007954583757414,105.84752508763202
1717828491000,21.00804733296765,105.84763114602694
