,utcTimeMillis,Latitude_1,Longitude_1,Latitude_2,Longitude_2,Distance
0,1717828418000,21.005066666666668,105.84593833333332,21.00526546762061,105.84602803108736,23.986612443938835
1,1717828419000,21.005066666666668,105.84601,21.00526708829076,105.84609381305128,23.923937988739407
2,1717828421000,21.005061666666663,105.84615166666666,21.00516130712685,105.84622805716384,13.624868572534355
3,1717828422000,21.005060000000004,105.84621833333334,21.00516362072972,105.84628987045404,13.707801848310572
4,1717828423000,21.00505,105.84629333333332,21.00517531824605,105.84632558344389,14.331251769275385
5,1717828424000,21.005046666666665,105.846355,21.00508474163821,105.8464383318576,9.63083160449257
6,1717828425000,21.005045000000003,105.84642333333336,21.00508017966085,105.8464977925918,8.662817064219256
7,1717828426000,21.005043333333333,105.84648166666666,21.00507942285032,105.8465372075822,7.024573150398152
8,1717828427000,21.00504,105.84653833333331,21.005025887834098,105.84656205512351,2.9199505691208185
9,1717828428000,21.005041666666664,105.84658833333332,21.00499561061179,105.84661385354822,5.765819781030279
10,1717828429000,21.005041666666664,105.846635,21.00499020011999,105.84666147901844,6.348692085976281
11,1717828430000,21.005035,105.84668166666668,21.004989625875982,105.84669898997382,5.35626065750043
12,1717828431000,21.005025,105.84672333333334,21.004991293980677,105.84675032986053,4.679795342454164
13,1717828432000,21.005018333333336,105.84676166666668,21.00498368801305,105.84682032464858,7.205369236547476
14,1717828433000,21.00501,105.84679166666668,21.004972735593707,105.84684722588771,7.1015606987671385
15,1717828435000,21.00501333333333,105.84684833333334,21.004972811140448,105.84684044240429,4.579711884260255
16,1717828436000,21.005025,105.84687333333336,21.004983911769354,105.84686696357436,4.616402188665701
17,1717828437000,21.00503833333333,105.8469,21.00498840306164,105.8468982865719,5.554841198162691
18,1717828438000,21.00505833333333,105.84692333333332,21.00501305277293,105.8469277722121,5.056009158703838
19,1717828439000,21.005085,105.84694666666668,21.00503600712192,105.84697640548548,6.261633207117188
20,1717828440000,21.00512,105.846975,21.005060445104213,105.84699504554716,6.94143215964688
21,1717828442000,21.00521833333333,105.847005,21.005116495240248,105.84704598844353,12.096854734984301
22,1717828443000,21.005276666666667,105.84702166666666,21.005174036026173,105.8470669347369,12.341608967353839
23,1717828444000,21.00533666666667,105.84704833333332,21.00525100815039,105.84710888554136,11.41189142955185
24,1717828445000,21.005391666666664,105.84706666666668,21.00528834201077,105.84712628195022,13.04981098508691
25,1717828446000,21.005451666666666,105.847085,21.00532829609273,105.84717825052203,16.78956802807713
26,1717828447000,21.005515,105.84710166666667,21.00540869838395,105.847201160167,15.696635823867139
27,1717828448000,21.00558333333333,105.84710833333332,21.00550485696764,105.8472022780212,13.08614622326175
28,1717828449000,21.00565,105.84711666666664,21.0055772695173,105.84721397550716,12.939779243947505
29,1717828450000,21.00571833333333,105.84712999999998,21.005635681895576,105.84720197195094,11.844023242012325
30,1717828451000,21.00578666666667,105.847145,21.005679290147288,105.84722457177516,14.518412722418908
31,1717828452000,21.005858333333336,105.84716,21.005755719779973,105.84723566684724,13.852280087769628
32,1717828454000,21.005995,105.84720333333334,21.005809554955185,105.84724692532237,21.111213874974556
33,1717828455000,21.00606,105.84721833333332,21.005910706552207,105.84724578175653,16.843421014014197
34,1717828456000,21.006120000000003,105.84722666666669,21.006009118313045,105.84722054193698,12.345862362767894
35,1717828457000,21.006183333333336,105.84722833333332,21.006102671631123,105.84722220444505,8.9917078857187
36,1717828458000,21.006246666666662,105.84723,21.00617207092787,105.84722004234156,8.358825050146894
37,1717828459000,21.006315000000004,105.84722833333332,21.006235755264424,105.84722961833116,8.812622118047432
38,1717828460000,21.006375,105.84723666666666,21.00630038056436,105.84720161100618,9.060199170484497
39,1717828461000,21.006435000000003,105.84724,21.00631158047019,105.84715177951117,16.49854040789594
40,1717828462000,21.006496666666667,105.84724,21.006331463704388,105.84719286106512,19.010285827112767
41,1717828463000,21.006555,105.847245,21.006416624206047,105.84715691224214,17.898652517306118
42,1717828464000,21.006616666666662,105.84724833333333,21.00647800851887,105.84715670028858,18.11614066917756
43,1717828465000,21.00668166666667,105.84725666666668,21.00654387480467,105.84716164673058,18.22211169539348
44,1717828466000,21.006741666666667,105.84726,21.00660194143685,105.84717041355844,18.107205190441718
45,1717828468000,21.006851666666662,105.84727666666667,21.006724089562123,105.8473133757074,14.688804089607185
46,1717828469000,21.00691,105.84728833333332,21.00674078683065,105.84725581684997,19.116003883668654
47,1717828470000,21.006961666666665,105.84731166666668,21.006910787936903,105.847251974873,8.39051383446538
48,1717828472000,21.00707833333333,105.847345,21.006928959561925,105.84728719762914,17.66014653428697
49,1717828473000,21.007138333333334,105.84735666666666,21.007007152694555,105.84730760979194,15.449960772603406
50,1717828475000,21.007255,105.84738166666666,21.00710486681155,105.84728976042577,19.227794559067796
51,1717828477000,21.007381666666667,105.84739833333332,21.007212824526963,105.84727003101378,23.0185964134482
52,1717828478000,21.00745,105.84739666666668,21.007264321972396,105.84728923931289,23.465512153093982
53,1717828479000,21.00752166666667,105.84739833333332,21.00732158239713,105.84732515109152,23.509531616957087
54,1717828480000,21.00759333333333,105.84739833333332,21.007501894436,105.84745369450908,11.67919913759019
55,1717828481000,21.00766,105.84740166666668,21.007579039247585,105.84741293489104,9.07809586201754
56,1717828482000,21.007726666666667,105.84739666666668,21.00762905829735,105.84736506334708,11.338504961566857
57,1717828483000,21.007795,105.84739166666668,21.007667317965463,105.8473895298998,14.199326957221404
58,1717828485000,21.007918333333336,105.847395,21.007723346703724,105.8474154458506,21.78515309974137
