Latitude,Longitude,utcTimeMillis,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ
21.005995,105.84720333333334,1717828455000,-0.07095,7.6080003,4.7179503,0.0545875,0.2949375,-0.0132,-9.1875,1.7437501,-43.987503
21.00606,105.84721833333333,1717828456000,0.76395005,7.3669505,7.635,-1.1493624,-0.5809375,-0.2366375,-5.1000004,3.05625,-46.0875
21.006120000000003,105.84722666666667,1717828457000,-0.39000002,6.4900503,7.9800005,-0.095425,0.0798875,-0.0174625,1.5562501,10.3125,-42.84375
21.006183333333336,105.84722833333332,1717828458000,-0.56700003,5.56605,6.7579503,-0.145475,0.2332,0.10175,4.14375,17.34375,-40.3125
21.006246666666666,105.84723000000001,1717828459000,-1.36695,6.1260004,8.563951,0.815925,0.4725875,0.028324999,3.7875001,16.3125,-41.100002
21.006315000000004,105.84722833333332,1717828460000,-0.83100003,8.13795,4.8019505,0.2743125,0.0576125,0.39655,4.0875,5.0437503,-44.2125
21.006375000000002,105.84723666666666,1717828461000,-0.15300001,6.7060504,7.6440005,-0.0160875,-0.11385,-0.2919125,6.6000004,6.0,-43.987503
21.006435000000003,105.84724,1717828462000,0.80700004,6.88005,7.5270004,0.0100375,-0.0977625,0.063525,6.7875004,14.1,-41.8125
21.006496666666667,105.84724,1717828463000,0.99105006,7.18695,8.47995,-0.5652625,-0.2223375,-0.12485,4.14375,14.400001,-41.34375
21.006555000000002,105.84724499999999,1717828464000,0.058950003,6.46605,8.619,-0.4609,0.5608625,0.2827,1.6875001,14.343751,-43.3875
21.006616666666666,105.84724833333333,1717828465000,-0.9580501,5.29995,7.0909505,0.2492875,-0.186175,-0.1973125,-0.54375005,14.887501,-43.85625
21.00668166666667,105.84725666666667,1717828466000,0.47400004,7.656,7.1700006,0.2275625,-0.0308,0.0198,-0.71250004,13.312501,-43.74375
21.006741666666667,105.84726,1717828467000,3.1990502,13.030951,5.19705,0.71802497,-0.2607,-0.2270125,0.35625002,5.5875,-44.756252
21.0068,105.84726500000001,1717828468000,-0.56505,6.47805,8.94705,-0.3260125,0.069299996,-0.9070875,-2.5125,4.4437504,-44.7
21.006851666666662,105.84727666666667,1717828469000,-0.52905005,5.56995,6.5830503,0.0600875,-0.8045125,0.5413375,-6.1125,9.65625,-44.2125
21.00691,105.84728833333332,1717828470000,-1.12995,4.0230002,8.67195,-0.7143125,0.050049998,0.055,-12.95625,11.043751,-41.943752
21.006961666666665,105.84731166666667,1717828471000,-0.126,5.103,7.93905,0.093775,-0.0680625,0.1518,-16.9125,12.243751,-39.300003
21.007011666666667,105.84733499999999,1717828472000,0.097950004,7.0789504,6.52605,0.6626125,0.2182125,0.3614875,-17.1,11.45625,-38.2125
21.007078333333332,105.847345,1717828473000,-0.18195,8.33205,6.9550505,-0.3499375,0.4725875,-0.1078,-14.043751,5.2125,-41.8125
21.007138333333334,105.84735666666666,1717828474000,-0.59595,8.064,5.175,-0.4989875,0.2534125,-0.1111,-11.75625,2.5125,-42.787502
21.007196666666665,105.847365,1717828475000,-2.04195,6.5670004,7.3230004,0.36355,0.3917375,0.388025,-2.2875001,10.200001,-40.912502
21.007255,105.84738166666666,1717828476000,1.67805,10.023001,1.02705,0.4189625,0.47575,-0.1387375,6.1125,4.0875,-40.2
21.007316666666664,105.84738999999999,1717828477000,3.4990501,9.639001,2.9290502,-0.33467498,-0.4448125,0.388025,5.9437504,-10.087501,-38.8125
21.007381666666667,105.84739833333333,1717828478000,2.39895,11.017051,1.98705,0.098175,-0.4926625,0.358325,5.2875004,-13.556251,-38.34375
21.007450000000002,105.84739666666668,1717828479000,2.29605,9.474,4.5859504,-0.2759625,-0.1819125,-0.1302125,2.7562501,-12.3,-41.4
21.00752166666667,105.84739833333333,1717828480000,0.27705002,8.70495,4.5480003,-0.49568748,1.382425,-0.509025,-2.15625,-8.45625,-42.9
21.00759333333333,105.84739833333333,1717828481000,2.18595,8.77005,2.1379502,0.64955,0.058575,-0.0301125,1.9125,-4.0875,-41.8875
21.00766,105.84740166666667,1717828482000,1.29495,9.903001,4.038,0.197175,-0.268125,-0.100375,-4.3875003,-6.7875004,-43.143753
21.007726666666667,105.84739666666668,1717828483000,0.31095,8.00595,4.43505,0.16555,-0.24887499,0.2283875,-5.15625,-9.0,-44.8875
21.007795,105.84739166666668,1717828484000,2.25105,8.887051,0.273,-0.3782625,-0.4915625,0.13585,-1.9125,-11.043751,-44.04375
21.007856666666665,105.84739333333333,1717828485000,1.81305,7.2900004,7.24905,-1.1928124,-0.5809375,0.2061125,-1.0125,-11.887501,-44.8125
21.007918333333336,105.84739499999999,1717828486000,0.064050004,5.589,2.196,-0.1106875,0.0565125,-0.0121,-2.6437502,-9.65625,-46.0875
21.007975000000002,105.84740500000001,1717828487000,-0.105000004,7.9170003,6.01305,-0.1791625,-0.053075,-0.5644375,0.4875,-7.3875003,-45.956253
21.00803,105.84741333333335,1717828488000,2.7919502,9.786,3.66105,-0.294525,0.1032625,-0.8102875,4.9125004,-4.9125004,-45.54375
21.008081666666666,105.84742333333334,1717828489000,2.421,9.70905,4.82805,-0.51315,-0.399025,-0.5303375,-10.556251,-11.400001,-43.143753
21.008125000000003,105.84745666666667,1717828490000,1.01505,10.03005,3.2730002,0.245025,-0.236225,-0.4569125,-22.143751,-11.512501,-38.756252
21.008163333333332,105.84751333333334,1717828491000,1.2739501,6.9810004,4.3510504,-0.60335,1.0366125,-1.394525,-27.000002,-15.356251,-34.2
21.00819333333333,105.84757499999999,1717828492000,-1.1400001,8.49705,3.6060002,0.2014375,-0.0105875,1.1053625,-30.056252,-19.3125,-27.7875
21.008216666666666,105.84765,1717828493000,2.63595,9.144,2.91195,-1.2330999,-1.673925,-1.066725,-30.6,-14.587501,-31.25625
21.00822833333333,105.84773166666668,1717828494000,0.07395,6.37305,7.4460006,0.0297,-0.53515,0.080575,-35.287502,-11.1,-26.75625
21.00823666666667,105.84781166666669,1717828495000,0.88305,8.6959505,3.7120502,0.150425,0.1373625,-0.3366,-38.34375,-12.543751,-20.2875
21.00825166666667,105.84789166666665,1717828496000,0.057000004,9.46695,2.8950002,-0.01925,-0.331925,-0.020624999,-36.35625,-17.34375,-23.34375
21.008264999999998,105.847975,1717828497000,-0.21000001,7.55595,5.01,-0.439175,-0.2277,-0.51865,-33.112503,-17.643751,-26.1
21.00828,105.84805333333334,1717828499000,0.81405,7.8019505,5.26905,0.815925,-0.1159125,0.10285,-33.65625,-8.2875,-30.7875
21.008288333333333,105.84812500000001,1717828500000,1.9420501,8.566051,5.6899505,0.0622875,-0.690525,0.275275,-37.85625,-6.3562503,-27.843752
21.008300000000002,105.84819333333334,1717828501000,-2.0400002,6.8920503,6.2580004,-0.31405,-0.1552375,-1.27215,-37.55625,-6.05625,-27.956251
21.008311666666668,105.84826166666666,1717828502000,-0.855,6.5400004,8.454,-0.12705,-0.153175,0.339075,-33.787502,-13.9125,-27.6
21.008320000000005,105.84833666666667,1717828503000,-0.44700003,7.9200006,5.1199503,1.017225,1.0110375,0.0411125,-36.1875,-12.243751,-26.1
21.008333333333333,105.84840833333334,1717828504000,0.57705003,7.1059504,7.1250005,-0.02365,0.159775,0.2391125,-37.912502,-11.043751,-28.143751
21.008354999999998,105.84847999999998,1717828505000,0.124050006,6.6049504,6.0540004,-0.0389125,0.123475,0.1645875,-36.956253,-6.05625,-28.0125
21.008378333333333,105.84854833333333,1717828506000,4.77495,10.779,5.8960505,0.920425,0.4609,0.42955,-35.5125,-3.4125001,-27.54375
21.008426666666665,105.848695,1717828507000,3.69495,9.316051,3.21405,0.139425,-0.2063875,-0.1131625,-31.612501,-4.4437504,-29.812502
