,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvClockBiasMeters,SvClockDriftMetersPerSecond
10,1717218068000,20105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536486100230076.0,14.0,43.1617431640625,-276.8441598645277,0.15,17,-2961.229353960488,0.0962695747502965,1575420030.0,0,0.0,0.0,0,0.0,1,33.2014274597168,38.1617431640625,0.0,2000000001.0,0.0,2000000001.0,C,307677740775472,GPS,-9.223372016749778e+18,-9.22326831389977e+18,-31089332304908.85,4.197094412,G,G11,2024-06-01 05:01:08+00:00,7,5596582.285554641,19280321.939019553,17440050.366276134,-202532.95075828736,-0.0025902666957327448
11,1717218068000,20105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536486102723920.0,11.0,45.33760452270508,-574.7996749484146,0.15,25,-7318.1940494360515,0.0008739476324990392,1575420030.0,0,0.0,0.0,0,0.0,1,33.2014274597168,40.33760452270508,0.0,2000000001.0,0.0,2000000001.0,C,307677740775472,GPS,-9.223372016749778e+18,-9.223268313897276e+18,-31089333052423.355,3.297717038,G,G20,2024-06-01 05:01:08+00:00,7,1927473.2205930827,26550572.964549143,1158433.5853586714,112280.42460850412,-0.0004089894782739068
12,1717218069000,21105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536487095350310.0,25.0,35.73833084106445,-877.3827014842295,0.5691441396857728,17,-12927.336030489643,0.097634965705767,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,30.738330841064453,0.0,2000000001.0,0.0,2000000001.0,C,307678741291587,GPS,-9.223372015749776e+18,-9.223268312904648e+18,-31089330841806.53,7.494811449999999,G,G05,2024-06-01 05:01:09+00:00,8,6133365.150791546,23907440.56893915,-9871867.019004462,-52385.27445113585,-0.0004089894782739068
13,1717218069000,21105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536487100230996.0,19.0,39.005802154541016,-276.8687162744524,0.15,17,-3237.982687176858,0.0969584919866991,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,34.005802154541016,0.0,2000000001.0,0.0,2000000001.0,C,307678741291587,GPS,-9.223372015749776e+18,-9.223268312899768e+18,-31089332304908.85,5.696056702,G,G11,2024-06-01 05:01:09+00:00,8,5594724.31339373,19279121.147035815,17441970.96121348,-202532.95075828736,-0.0025902666957327448
14,1717218069000,21105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536487102725842.0,12.0,44.407745361328125,-574.76443368837,0.15,25,-7892.941589340218,0.0009726990829221904,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,39.407745361328125,0.0,2000000001.0,0.0,2000000001.0,C,307678741291587,GPS,-9.223372015749776e+18,-9.223268312897274e+18,-31089333053037.33,3.597509496,G,G20,2024-06-01 05:01:09+00:00,8,1927170.5293533772,26550464.08362706,1161579.9827269437,112280.42460850412,-0.0004089894782739068
15,1717218070000,22105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536488095353271.0,27.0,35.05091857910156,-877.2872024410526,0.6000567280500682,17,-13804.7158090803,0.0978398799552468,1575420030.0,0,0.0,0.0,0,0.0,1,35.00495910644531,30.050920486450195,0.0,2000000001.0,0.0,2000000001.0,C,307679738060317,GPS,-9.223372014749778e+18,-9.223268311904648e+18,-31089330842727.496,8.094396366,G,G05,2024-06-01 05:01:10+00:00,9,6133110.401639204,23908663.251902964,-9869003.241056101,-52385.27445113585,-0.0004089894782739068
16,1717218070000,22105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536488100231925.0,22.0,37.29119110107422,-276.84434731803856,0.15,17,-3514.800265313253,0.0972276345482913,1575420030.0,0,0.0,0.0,0,0.0,1,35.00495910644531,32.29119110107422,0.0,2000000001.0,0.0,2000000001.0,C,307679738060317,GPS,-9.223372014749778e+18,-9.22326831189977e+18,-31089332305522.824,6.595434076,G,G11,2024-06-01 05:01:10+00:00,9,5592866.077277147,19277920.319988668,17443891.18646894,-202532.95075828736,-0.0025902666957327448
17,1717218070000,22105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,20,0.0,16431,536488102727758.0,17.0,40.33345031738281,-574.5882273881471,0.15,25,-8467.495315480233,0.0014659425942227,1575420030.0,0,0.0,0.0,0,0.0,1,35.00495910644531,35.33345031738281,0.0,2000000001.0,0.0,2000000001.0,C,307679738060317,GPS,-9.223372014749778e+18,-9.223268311897272e+18,-31089333053651.305,5.096471786,G,G20,2024-06-01 05:01:10+00:00,9,1926867.791851917,26550354.82857414,1164726.3555963007,112280.42460850412,-0.0004089894782739068
18,1717218071000,23105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,05,0.0,16431,536489095356209.0,18.0,39.93125534057617,-877.2449401949643,0.15,17,-14681.993918736873,0.0967753935028684,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,34.93125534057617,0.0,2000000001.0,0.0,2000000001.0,C,307680737438316,GPS,-9.223372013749776e+18,-9.223268310904644e+18,-31089330843648.46,5.396264243999999,G,G05,2024-06-01 05:01:11+00:00,10,6132855.733255782,23909885.591765642,-9866139.25370501,-52385.27445113585,-0.0004089894782739068
19,1717218071000,23105000000,0,0.0,-9223372036854775808,0.0,0.0,0.0,0.0,18.0,11,0.0,16431,536489100232854.0,20.0,38.946533203125,-276.7783125585256,0.15,17,-3791.572861296432,0.0969708961556551,1575420030.0,0,0.0,0.0,0,0.0,1,34.44438552856445,33.946533203125,0.0,2000000001.0,0.0,2000000001.0,C,307680737438316,GPS,-9.223372013749776e+18,-9.223268310899768e+18,-31089332305522.824,5.99584916,G,G11,2024-06-01 05:01:11+00:00,10,5591007.577245843,19276719.45794634,17445811.041984577,-202532.95075828736,-0.0025902666957327448
