utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
1717828258000,456112440000000,18,0.0,-1401407364970240327,-0.6860713958740234,22.171137970872223,-6.2203727552564,11.639071897709243,519.0,20,0.0,16399,541877340378452.0,14.0,34.5,226.4898681640625,0.0260000005364418,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,30.9,0.0,0.0,0.0,0.0,C,1168023917271864,GPS,1.4018634774102403e+18,1.4018634773403784e+18,20944067.124040704,4.197094412,G,G20,2024-06-08 06:30:58+00:00,227,-3658936.281179958,18176063.337927386,19134482.98955715,-1514.7674893110839,-1883.9232281672753,1490.158579984165,112142.91689271489,-0.00013632982609110243
1717828258000,456112440000000,18,0.0,-1401407364970240327,-0.6860713958740234,22.171137970872223,-6.2203727552564,11.639071897709243,519.0,25,0.0,16399,541877333046767.0,16.0,33.0,75.92715454101562,0.0504000037908554,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,29.4,0.0,0.0,0.0,0.0,C,1168023917271864,GPS,1.4018634774102403e+18,1.4018634773330468e+18,23142020.712434176,4.796679328,G,G25,2024-06-08 06:30:58+00:00,227,16368884.40573275,19115538.816227928,8555579.282502372,256.51894825387774,1131.193466845266,-2878.542510948886,149004.89644778578,0.0001704122826140279
1717828258000,456112440000000,18,0.0,-1401407364970240327,-0.6860713958740234,22.171137970872223,-6.2203727552564,11.639071897709243,519.0,29,0.0,16399,541877328668080.0,21.0,30.5,-650.4269409179688,0.0726000070571899,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,26.9,0.0,0.0,0.0,0.0,C,1168023917271864,GPS,1.4018634774102403e+18,1.401863477328668e+18,24454699.164051965,6.295641617999999,G,G29,2024-06-08 06:30:58+00:00,227,12460633.766392656,8352181.44855264,21868585.13870528,-1740.504470030949,2175.035391024488,148.95415337823346,-178428.75559176708,0.0004771543913185587
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,05,0.0,16399,541878341018894.0,9.0,39.0,-36.75152969360352,0.0233000013977289,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,35.4,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.401863478341019e+18,20752046.457182206,2.698132122,G,G05,2024-06-08 06:30:59+00:00,228,3321329.2302005375,23367966.844185106,11910813.305359589,-922.0284531070331,-1255.2542179349123,2687.621419152274,-52632.50913582519,-0.0004089894782739068
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,06,0.0,16399,541878331902826.0,80.0,19.8,229.97943115234372,2.773000240325928,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,16.2,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.4018634783319027e+18,23485002.47110349,23.98339664,G,G06,2024-06-08 06:30:59+00:00,228,-23087309.219355814,5751341.59476514,11978788.441303143,-1482.7133945759406,-289.70311601095204,-2721.602727677448,69083.45760688353,-0.006271172000203902
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,11,0.0,16399,541878337119501.0,31.0,27.2,39.114864349365234,0.6919999718666077,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,23.6,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.4018634783371195e+18,21921054.769567743,9.293566198,G,G11,2024-06-08 06:30:59+00:00,228,-11647759.780474326,12639226.118396189,20257322.76261518,-2533.8740140859127,-423.28159211346696,-1199.4476284220548,-204091.0457996354,-0.002522101782688093
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,12,0.0,16399,541878335448713.0,40.0,25.1,306.0303039550781,0.8089999556541443,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,21.5,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.4018634783354488e+18,22421904.83828019,11.99169832,G,G12,2024-06-08 06:30:59+00:00,228,9972433.165141322,24638740.714742273,316693.76601348206,-226.30740793590684,168.81243074907968,-3176.0313562343,-153573.50305364578,-0.0009543087826401152
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,13,0.0,16399,541878336952550.0,14.0,33.8,-572.1838989257812,0.050000000745058,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,30.2,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.4018634783369523e+18,21971093.72831744,4.197094412,G,G13,2024-06-08 06:30:59+00:00,228,-12174399.714139318,21923504.072222836,-8587888.175624764,-900.8461800851478,621.5266929280557,2957.903252026438,196784.849034806,0.0007838965000254878
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,15,0.0,16399,541878331530974.0,80.0,20.5,-705.4186401367188,3.433000087738037,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,16.9,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.401863478331531e+18,23596438.925251585,23.98339664,G,G15,2024-06-08 06:30:59+00:00,228,449803.29153348505,22792824.512902413,-13967725.30909576,-987.1890936411129,1416.9936761764498,2385.11327365244,50299.903630314206,0.0012610508913440464
1717828259000,456113440000000,18,0.0,-1401407364970240336,-0.3883495330810547,19.390367015148517,-7.556172692625665,10.180896450460738,519.0,19,0.0,16399,541878333611362.0,16.0,33.1,583.7504272460938,0.0504000037908554,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.02,29.5,0.0,0.0,0.0,0.0,C,1168024917271873,GPS,1.4018634784102403e+18,1.4018634783336113e+18,22972793.865742333,4.796679328,G,G19,2024-06-08 06:30:59+00:00,228,-20110614.752903093,15179209.397118546,-7907253.624049841,437.4402325351335,-928.3698257059034,-2999.5387352504295,147911.67520680247,0.0016018754565733013
