Time,Latitude,Longitude,Altitude
1717218055000,21.00486227,105.8413734,74.94277888
1717218056000,21.00492046,105.8413639,9.856561295
1717218057000,21.00511612,105.8413684,68.80185762
1717218058000,21.00497076,105.8414321,128.0714943
1717218059000,21.00464225,105.8413959,-10.75649039
1717218060000,21.00467729,105.8411122,162.4975034
1717218061000,21.00516234,105.8414253,100.5289846
1717218062000,21.00444953,105.8415951,-3.595292393
1717218063000,21.00499966,105.8413429,-47.22030548
1717218064000,21.00493022,105.8415181,-86.73736622
1717218065000,21.00475141,105.8415136,-138.5659597
1717218066000,21.0048669,105.84122,18.8606994
1717218067000,21.00483849,105.8416446,84.4990863
1717218068000,21.00494987,105.8418238,59.97943346
1717218069000,21.00485783,105.8415863,26.36039716
1717218070000,21.00494269,105.8412493,-90.45854245
1717218071000,21.00453514,105.841621,134.040839
1717218072000,21.00491704,105.84135,1.312854123
1717218073000,21.0047988,105.8414344,-76.30048101
1717218074000,21.00474441,105.8416665,48.27811803
1717218075000,21.00471178,105.8411399,52.28249343
1717218076000,21.00481256,105.8414866,21.5028842
1717218077000,21.0048429,105.8415281,-12.10943151
1717218078000,21.00503225,105.8417621,-23.50860298
1717218079000,21.00501975,105.8414046,-23.73158508
1717218080000,21.00477025,105.8416255,-178.3716272
1717218081000,21.00481193,105.8416026,-11.80567041
1717218082000,21.00470338,105.8413231,-12.11120376
1717218083000,21.0046967,105.8417433,-40.91211494
1717218084000,21.00472309,105.8409622,127.6503799
1717218085000,21.00463922,105.8412933,147.7992651
1717218086000,21.0044246,105.8411533,-25.01946781
1717218087000,21.00456776,105.8415604,-158.1489143
1717218088000,21.00462887,105.8413434,8.253743386
1717218089000,21.0046059,105.841103,-33.23205034
1717218090000,21.00425248,105.8414226,132.423104
1717218091000,21.00466231,105.8410348,103.8402844
1717218092000,21.00440506,105.8414076,-76.25642487
1717218093000,21.00426861,105.8411124,-100.2567051
1717218094000,21.00431534,105.8407357,92.29974747
1717218095000,21.00403617,105.8413766,-78.97369306
1717218096000,21.00407563,105.8415716,-98.48750298
1717218097000,21.00418793,105.8412279,19.34563294
1717218098000,21.00396615,105.8409798,96.30031449
1717218099000,21.0039438,105.8413899,71.22496836
1717218100000,21.00395191,105.8411187,7.479943729
1717218101000,21.00408656,105.8415814,-117.9003694
1717218102000,21.00361394,105.8412755,60.69486979
1717218103000,21.00402418,105.8408262,72.44187131
1717218104000,21.00412232,105.841035,42.24699231
1717218105000,21.00377553,105.8414479,-140.5640143
1717218106000,21.00385608,105.8412177,-95.40926737
1717218107000,21.003646,105.8413561,59.56665813
1717218108000,21.00399556,105.8415926,34.88143591
1717218109000,21.00397879,105.8413637,6.830744378
1717218110000,21.00368475,105.8410822,-114.6102685
1717218111000,21.0037281,105.841301,-143.3329118
1717218112000,21.00375966,105.8413472,23.85479734
1717218113000,21.00380026,105.84129,-41.34551652
1717218114000,21.00352098,105.8415833,-15.59799497
1717218115000,21.00350826,105.8419456,24.85653657
1717218116000,21.00387146,105.8419724,127.0212631
1717218117000,21.00315362,105.8416984,38.34992493
1717218118000,21.0036231,105.8418763,18.53225838
1717218119000,21.00334391,105.8417331,35.58309425
1717218120000,21.00346701,105.8418508,32.29467713
1717218121000,21.00342842,105.8419943,62.41752596
1717218122000,21.00358933,105.8417915,0.929785164
1717218123000,21.00395109,105.8419925,65.09494029
1717218124000,21.00388883,105.8424451,86.48492796
1717218125000,21.00332389,105.841781,52.37571977
1717218126000,21.00354543,105.8420127,36.5844947
1717218127000,21.00317405,105.8421814,-127.5113681
1717218128000,21.00319529,105.8419496,-148.4645102
1717218129000,21.0038756,105.8423586,-4.110241287
1717218130000,21.00382202,105.8428509,52.02079408
1717218131000,21.00362349,105.8424964,-53.94210518
1717218132000,21.00367059,105.8428865,-7.176535586
1717218133000,21.00333262,105.8427697,-25.67337121
1717218134000,21.00355451,105.8424822,51.96515529
1717218135000,21.00377367,105.8425913,42.07825985
1717218136000,21.00414328,105.8424403,-126.4752222
1717218137000,21.00396385,105.8425754,-149.5376679
1717218138000,21.0037936,105.8426485,-120.5029609
1717218139000,21.00384891,105.8429674,-99.36478101
1717218140000,21.00373964,105.8430031,-103.5896108
1717218141000,21.0035049,105.8430163,54.19523689
1717218142000,21.00373485,105.843226,51.12864899
1717218143000,21.00353312,105.8436004,45.79430494
1717218144000,21.00336935,105.8440111,168.2879833
1717218145000,21.00321511,105.8437001,121.335747
1717218146000,21.00373949,105.8437725,1.967007902
1717218147000,21.00298525,105.8440283,59.57979722
1717218148000,21.00293239,105.8443557,262.2744056
1717218149000,21.00301506,105.8437305,78.89280792
1717218150000,21.00307908,105.8442505,73.50531578
1717218151000,21.00353436,105.8444996,-58.36874036
1717218152000,21.0029326,105.8436044,71.94804071
1717218153000,21.00277394,105.8438162,97.59719364
1717218154000,21.00333155,105.8439626,22.98613876
1717218155000,21.0032017,105.8441213,4.943618857
1717218156000,21.00306631,105.8444098,39.93428907
1717218157000,21.00321309,105.8440002,-154.1224159
1717218158000,21.00326438,105.8440903,-161.4962407
1717218159000,21.00334027,105.8440179,224.3748254
1717218160000,21.00276664,105.8443443,14.7305636
1717218161000,21.00370134,105.8440795,-150.2019217
1717218162000,21.00305507,105.84495,183.9201747
1717218163000,21.00302127,105.8446575,34.126109
1717218164000,21.00308951,105.844915,111.7406372
1717218165000,21.00323716,105.8444992,-122.67334
1717218166000,21.00273856,105.845244,119.8691944
1717218167000,21.0026975,105.8446409,120.9656713
1717218168000,21.00291177,105.8443883,40.9275585
1717218169000,21.00296779,105.8446106,36.24181822
1717218170000,21.00255202,105.8447384,73.09294032
1717218171000,21.00265824,105.8447856,67.9735929
1717218172000,21.00267726,105.8447626,49.93964162
1717218173000,21.00325854,105.8443889,10.32756633
1717218174000,21.00321921,105.84449,-5.987980065
1717218175000,21.00325546,105.8447869,-6.868339619
1717218176000,21.00346508,105.8449439,3.321187139
1717218177000,21.00328912,105.8447737,-12.07280421
1717218178000,21.00312556,105.8449962,36.09166465
1717218179000,21.00332307,105.8449237,-4.127738975
1717218180000,21.00334652,105.8448426,95.65623121
1717218181000,21.00344443,105.8450707,-19.28941631
1717218182000,21.00365448,105.8449448,-28.10051755
1717218183000,21.003577,105.8452344,128.9896945
1717218184000,21.00360924,105.844975,-28.18009087
1717218185000,21.00353137,105.8452466,64.9467748
1717218186000,21.00394562,105.8449165,-61.05152409
1717218187000,21.00349984,105.8451793,167.8438735
1717218188000,21.00317743,105.8455519,203.5544127
1717218189000,21.00350941,105.8449717,156.4613256
1717218190000,21.00360761,105.845267,176.7726146
1717218191000,21.00351309,105.8457438,175.2675388
1717218192000,21.00396658,105.8450931,143.6422815
1717218193000,21.00389693,105.8455346,140.4107388
1717218194000,21.0040567,105.8451321,130.0995472
1717218195000,21.00356152,105.8457599,179.6618743
1717218196000,21.00409011,105.845069,138.9513566
1717218197000,21.00396919,105.8455599,153.2754907
1717218198000,21.00387619,105.846024,143.5712872
1717218199000,21.00428368,105.8454615,118.7135486
1717218200000,21.00430763,105.8457501,119.2981517
1717218201000,21.00448051,105.8459593,-99.78816806
1717218202000,21.00449185,105.8454354,113.9589209
1717218203000,21.00418423,105.8458367,132.7775075
1717218204000,21.00461996,105.8458557,49.2172705
1717218205000,21.00470555,105.8456933,70.40203711
1717218206000,21.00474126,105.8458018,29.89559205
1717218207000,21.00497806,105.8457223,-18.65419952
1717218208000,21.00471487,105.8460618,113.0996243
1717218209000,21.00501104,105.8454628,-15.4379038
1717218210000,21.0048813,105.8459081,53.7383161
1717218211000,21.00467004,105.8459535,-35.63121976
1717218212000,21.00462974,105.8461856,11.70424177
1717218213000,21.00525709,105.8456713,-127.121247
1717218214000,21.00512443,105.8455395,-59.61259648
1717218215000,21.00488032,105.8458262,-46.92389112
1717218216000,21.00483029,105.8457532,-91.18335298
1717218217000,21.00486296,105.8462477,24.56618598
1717218218000,21.00535183,105.8460955,128.627328
1717218219000,21.00489293,105.8460082,-26.37077122
1717218220000,21.00486526,105.8460303,-14.21709944
1717218221000,21.00459518,105.8462705,-32.20469292
1717218222000,21.00458833,105.8462433,-16.23461695
1717218223000,21.00471711,105.8462671,159.1537318
1717218224000,21.00466458,105.846362,-20.78720845
1717218225000,21.00459722,105.8462657,-6.424859185
1717218226000,21.00483243,105.8464171,-26.92130615
1717218227000,21.00483519,105.8461403,-13.45646505
1717218228000,21.0047206,105.84654,2.378104022
1717218229000,21.00480724,105.8469732,122.8953051
1717218230000,21.0050356,105.8464599,-17.9616006
1717218231000,21.00496664,105.8468638,-22.15220933
1717218232000,21.00476714,105.8467244,18.9941801
1717218233000,21.00494791,105.846965,-3.096257361
1717218234000,21.0052189,105.847096,73.85381753
1717218235000,21.00486228,105.8469854,-68.72380173
1717218236000,21.00454242,105.8466777,-164.6908891
1717218237000,21.00518288,105.8470338,-60.88239812
1717218238000,21.00517767,105.8471467,110.2919906
1717218239000,21.00516525,105.8473409,100.7481659
1717218240000,21.00450975,105.8468781,-130.4802333
1717218241000,21.00450269,105.8472724,-74.70552954
1717218242000,21.0048651,105.8469668,-112.3249005
1717218243000,21.00503892,105.8470988,30.66240165
1717218244000,21.00506598,105.8472502,32.27918972
1717218245000,21.00481087,105.8470225,7.233934771
1717218246000,21.00482967,105.8474463,69.74655458
1717218247000,21.00510354,105.8469322,9.245981875
1717218248000,21.00521745,105.8469497,74.42823675
1717218249000,21.00517302,105.8472766,87.0497577
1717218250000,21.00484873,105.847082,122.2723488
1717218251000,21.00534594,105.8471393,88.88246268
1717218252000,21.00504072,105.8470692,171.5260407
1717218253000,21.00497775,105.8475047,122.4007839
1717218254000,21.00514365,105.8473345,113.4873798
1717218255000,21.00515899,105.8469683,128.3209297
1717218256000,21.00512305,105.8471548,137.0416266
1717218257000,21.00513414,105.8471481,37.92773087
1717218258000,,,
1717218259000,,,
1717218260000,,,
1717218261000,,,
1717218262000,,,
1717218263000,,,
1717218264000,,,
