,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvClockBiasMeters,SvClockDriftMetersPerSecond
0,1716581701000,6105000000,0,0.0,-1400616913677919615,0.0,1011000.0,0.0,0.0,47.0,28,0.0,16431,504919700959614.0,15.0,42.14379119873047,90.17440915926908,0.15,27,1023.1077106706902,0.001262339646928,1575420030.0,0,0.0,0.0,0,0.0,1,33.93330383300781,37.14379119873047,-0.349245953831213,1.0,-0.349245953831213,1.0,C,352759235128083,GPS,1.4006169197829197e+18,1.4006169197009595e+18,24571047.41783193,4.49688687,G,G28,2024-05-24 20:15:01+00:00,0,-26083114.511220224,4838449.629764361,1273772.1855705576,-77422.5676605228,-0.004976038652343526
1,1716581702000,7105000000,0,0.0,-1400616913677920459,0.0,1011000.0,0.0,0.0,47.0,28,0.0,16431,504920700959316.0,16.0,41.02051544189453,90.19324823711209,0.15,25,1113.2893689675443,0.0014366136165335,1575420030.0,0,0.0,0.0,0,0.0,1,35.818702697753906,36.02051544189453,-0.349245953831213,1.0,-0.349245953831213,1.0,C,352760250011044,GPS,1.4006169207829204e+18,1.4006169207009592e+18,24571354.40530893,4.796679328,G,G28,2024-05-24 20:15:02+00:00,1,-26083317.616827123,4838195.714760221,1270601.5433776875,-77422.5676605228,-0.004976038652343526
2,1716581703000,8105000000,0,0.0,-1400616913677921297,0.0,76.2278078935605,0.0,0.0,47.0,04,0.0,16385,504921713852713.0,133.0,26.853805541992188,-563.3294968653149,0.968401878410873,16,-1954.1968235461345,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.27734375,21.853805541992188,-0.2037268126146563,1.0,-0.2037268126146563,1.0,C,352761256174890,GPS,1.4006169217829212e+18,1.4006169217138527e+18,20706228.57624115,39.872396914,G,G04,2024-05-24 20:15:03+00:00,2,1750734.2681620996,21456201.347803023,15486856.690497426,110416.46215046242,0.002488019326165767
3,1716581703000,8105000000,0,0.0,-1400616913677921297,0.0,76.2278078935605,0.0,0.0,47.0,08,0.0,16385,504921711507312.0,43.0,29.458675384521484,-815.1534527367953,0.8508419001728029,16,-2039.731598305087,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.27734375,24.458675384521484,-1.0477379360510244,1.0,-1.0477379360510244,1.0,C,352761256174890,GPS,1.4006169217829212e+18,1.4006169217115072e+18,21409383.39229133,12.891075694,G,G08,2024-05-24 20:15:03+00:00,2,-4923184.267992942,25099372.52927136,-6380066.657060844,58602.99643427659,0.005896264978434334
4,1716581703000,8105000000,0,0.0,-1400616913677921297,0.0,76.2278078935605,0.0,0.0,47.0,16,0.0,16385,504921713658917.0,37.0,31.25214195251465,63.01099379239085,0.7705787801383508,16,156.92075302529614,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.27734375,26.25214195251465,0.0,1.0,0.0,1.0,C,352761256174890,GPS,1.4006169217829212e+18,1.400616921713659e+18,20764325.95626189,11.092320946,G,G16,2024-05-24 20:15:03+00:00,2,-5156498.527362897,17073244.442387745,19198840.438751966,-84829.97568845283,0.0030333386305229815
5,1716581704000,9105000000,0,0.0,-1400616913677922129,0.0,33.54167766351048,0.0,0.0,47.0,03,0.0,16385,504922704738040.0,39.0,30.44547271728516,146.25475671928177,0.8052490259015839,16,503.932129909734,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,25.44547271728516,0.5529727912983312,1.0,0.5529727912983312,1.0,C,352762255184004,GPS,1.4006169227829222e+18,1.400616922704738e+18,23439031.09642393,11.691905862,G,G03,2024-05-24 20:15:04+00:00,3,11855826.128742281,23034587.09298968,-6304212.049835202,113918.5114480826,0.005725852695822703
6,1716581704000,9105000000,0,0.0,-1400616913677922129,0.0,33.54167766351048,0.0,0.0,47.0,04,0.0,16385,504922713854554.0,156.0,27.21692276000977,-563.3027421369445,0.95207311993885,16,-2517.4070036264548,3.402823466385289e+38,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,22.21692276000977,-0.2037268126146563,1.0,-0.2037268126146563,1.0,C,352762255184004,GPS,1.4006169227829222e+18,1.4006169227138545e+18,20705998.33563341,46.767623448,G,G04,2024-05-24 20:15:04+00:00,3,1749715.7245406602,21457896.43661395,15484607.498959772,110416.46215046242,0.002488019326165767
7,1716581704000,9105000000,0,0.0,-1400616913677922129,0.0,33.54167766351048,0.0,0.0,47.0,08,0.0,16385,504922711510027.0,41.0,29.95089340209961,-815.6511929318544,0.8287078742185576,17,-2854.949253035433,0.0999912900506404,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,24.95089340209961,-1.0477379360510244,1.0,-1.0477379360510244,1.0,C,352762255184004,GPS,1.4006169227829222e+18,1.40061692271151e+18,21408846.16420659,12.291490778,G,G08,2024-05-24 20:15:04+00:00,3,-4923781.208486474,25100005.451263294,-6377022.302603106,58602.99643427659,0.005896264978434334
8,1716581704000,8105000000,0,0.0,-1400616913677921297,0.0,76.2278078935605,0.0,0.0,47.0,09,0.0,81921,504921704351909.0,67.0,25.05147933959961,-860.4038441182611,1.0477413106197186,16,-12059.884934206624,3.402823466385289e+38,1176450050.0,0,0.0,0.0,0,0.0,1,29.2401180267334,20.05147933959961,5.238689382025581,7.671281903963041,5.238689382025581,1.0,Q,352761256174890,GPS,1.4006169217829212e+18,1.400616921704352e+18,23554458.387772925,20.086094686,G,G09,2024-05-24 20:15:04+00:00,3,11578225.83477299,11014898.612242203,21126149.783662494,62544.51201561929,0.0042603070653506984
9,1716581704000,9105000000,0,0.0,-1400616913677922129,0.0,33.54167766351048,0.0,0.0,47.0,16,0.0,16385,504922713658741.0,160.0,29.524219512939453,62.828716554599794,0.8482813890592289,21,219.58123864638267,0.1002352043642548,1575420030.0,0,0.0,0.0,0,0.0,1,34.84845352172852,24.524219512939453,0.0,1.0,0.0,1.0,C,352762255184004,GPS,1.4006169227829222e+18,1.4006169227136586e+18,20764709.690608125,47.96679328,G,G16,2024-05-24 20:15:04+00:00,3,-5157961.018035098,17071181.223106373,19200301.430810142,-84829.97568845283,0.0030333386305229815
