Time,Latitude,Longitude
1717218055000,21.00486226868965,105.84137344909587
1717218056000,21.004873756169467,105.84138303578493
1717218057000,21.004902079690968,105.8413714356078
1717218058000,21.004896573072134,105.84139990265264
1717218059000,21.00489767121426,105.8413948788884
1717218060000,21.004894553125737,105.84139124346392
1717218061000,21.00489647500341,105.8413886526599
1717218062000,21.004892922705643,105.84138396193252
1717218063000,21.004964621378786,105.84136402460499
1717218064000,21.004964729640367,105.84136328835324
1717218065000,21.00496319843219,105.84136232591939
1717218066000,21.004960748057385,105.84136043032466
1717218067000,21.00495686848221,105.84136451942899
1717218068000,21.00496660835119,105.84137531125738
1717218069000,21.004964811317596,105.84137545944607
1717218070000,21.00496559850321,105.8413747377708
1717218071000,21.004958539893405,105.8413774502738
1717218072000,21.004951946360528,105.84137853801072
1717218073000,21.004933478204755,105.84140314487519
1717218074000,21.00491283559623,105.8414079499299
1717218075000,21.004848680944882,105.84139032415827
1717218076000,21.004821329109372,105.84138784229147
1717218077000,21.004794706290596,105.84139015957275
1717218078000,21.004750897314107,105.84139647801295
1717218079000,21.004769131617216,105.84138141613582
1717218080000,21.004730662945413,105.84137977629562
1717218081000,21.004694485077348,105.84139050760604
1717218082000,21.004650884700425,105.84138462832652
1717218083000,21.00461535419617,105.84138186809793
1717218084000,21.004592961526672,105.84136554136022
1717218085000,21.00457307897116,105.84136527713517
1717218086000,21.004537891284738,105.84134828362582
1717218087000,21.004513446484463,105.84134122941006
1717218088000,21.004493011529526,105.84133481569951
1717218089000,21.004462436944543,105.84132819314469
1717218090000,21.004432179652262,105.84132044535804
1717218091000,21.004441378439758,105.84130826559455
1717218092000,21.004399101234775,105.8413024486343
1717218093000,21.004356528937745,105.84130411327374
1717218094000,21.004306038143945,105.84127417997325
1717218095000,21.004257371170734,105.84127978358919
1717218096000,21.004206997049685,105.84128476638243
1717218097000,21.004158384481126,105.84128590084235
1717218098000,21.00410971973292,105.84127718819073
1717218099000,21.004066799156963,105.84127640781381
1717218100000,21.004024152066766,105.84127708535847
1717218101000,21.003986152007148,105.84127687420828
1717218102000,21.00393735763532,105.84127089547782
1717218103000,21.003901826781156,105.8412655973448
1717218104000,21.003874653774915,105.8412579762481
1717218105000,21.003841314949586,105.8412531215837
1717218106000,21.003811739425508,105.84124902785881
1717218107000,21.003787542930034,105.84124742601841
1717218108000,21.00377553800261,105.84124921248751
1717218109000,21.003758947309304,105.84125718149349
1717218110000,21.003734379123618,105.8412570812825
1717218111000,21.003711458312612,105.84126052777656
1717218112000,21.003692669623753,105.84127144790102
1717218113000,21.00367398923727,105.84127926998202
1717218114000,21.003655198884886,105.84131666402106
1717218115000,21.003646514558625,105.84135737959731
1717218116000,21.003633251847358,105.8413780861593
