utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,,,,,,,
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,32,0,16399,3.10362E+14,8,40,-136.1036224,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.16,36.4,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,196,0,16399,3.10362E+14,14,34.1,-161.3370056,0.200000003,16,0,1902.917734,1.58E+09,0,0,0,0,0,4,-0.16,30.5,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,14,0,49359,6.19443E+13,106,18.6,-242.2070618,3.674500227,16,0,0,1.60E+09,0,0,0,0,0,3,-0.14,14.6,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,3,0,49359,6.19443E+13,24,29.8,140.900589,0.314999998,16,0,1868.065357,1.60E+09,0,0,0,0,0,3,-0.14,25.8,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,4,0,49359,6.19443E+13,12,36.5,-79.08351898,0.251000017,16,0,1867.410893,1.61E+09,0,0,0,0,0,3,-0.14,32.5,3783.779785,24.98892593,0,0,C,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,16,0,16399,3.10348E+14,13,35.7,43.98875809,0.200000003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,31.4,-1530.455566,22.11410141,0,0,I,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,14,0,16399,3.10348E+14,35,27.1,220.1156769,0.675499976,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,22.8,-1530.455566,22.11410141,0,0,I,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,13,0,16399,3.10348E+14,12,36.7,-134.46875,0.200000003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,32.4,-1530.455566,22.11410141,0,0,I,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,8,0,16399,3.10348E+14,14,34.8,-103.7867584,0.200000003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,30.5,-1530.455566,22.11410141,0,0,I,3.79875E+15
1.71578E+12,4.57621E+14,18,0,-1.39936E+18,0.012537003,97.1712434,-1.724542144,13.36088703,1665,6,0,16399,3.10348E+14,61,22.4,6.654168606,1.011500001,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,18.1,-1530.455566,22.11410141,0,0,I,3.79875E+15
