,Time,Latitude_1,Longitude_1,Altitude,Latitude_2,Longitude_2,Distance
0,1717218055000,21.00486227,105.8413734,74.94277888,21.00486226868965,105.84137344909588,0.0050985320293259586
1,1717218056000,21.00492046,105.8413639,9.856561295,21.004873756169467,105.84138303578492,5.560166317110407
2,1717218057000,21.00511612,105.8413684,68.80185762,21.004902079690968,105.8413714356078,23.80228242214915
3,1717218058000,21.00497076,105.8414321,128.0714943,21.00489657307213,105.84139990265264,8.90057759444467
4,1717218059000,21.00464225,105.8413959,-10.75649039,21.00489767121426,105.8413948788884,28.401740979546545
5,1717218060000,21.00467729,105.8411122,162.4975034,21.004894553125737,105.84139124346392,37.71854533489488
6,1717218061000,21.00516234,105.8414253,100.5289846,21.00489647500341,105.8413886526599,29.806600856124284
7,1717218062000,21.00444953,105.8415951,-3.595292393,21.004892922705643,105.84138396193252,53.95518072067542
8,1717218063000,21.00499966,105.8413429,-47.22030548,21.004964621378782,105.841364024605,4.470834359396987
9,1717218064000,21.00493022,105.8415181,-86.73736622,21.004964729640367,105.84136328835324,16.522158453772935
10,1717218065000,21.00475141,105.8415136,-138.5659597,21.00496319843219,105.8413623259194,28.305164246377043
11,1717218066000,21.0048669,105.84122,18.8606994,21.004960748057385,105.84136043032466,17.92768574242031
12,1717218067000,21.00483849,105.8416446,84.4990863,21.00495686848221,105.841364519429,31.914994534367086
13,1717218068000,21.00494987,105.8418238,59.97943346,21.00496660835119,105.84137531125738,46.59299299099927
14,1717218069000,21.00485783,105.8415863,26.36039716,21.0049648113176,105.84137545944608,24.910419721517798
15,1717218070000,21.00494269,105.8412493,-90.45854245,21.00496559850321,105.8413747377708,13.268011570531932
16,1717218071000,21.00453514,105.841621,134.040839,21.004958539893405,105.8413774502738,53.43871065704162
17,1717218072000,21.00491704,105.84135,1.312854123,21.004951946360528,105.84137853801072,4.882750639540293
18,1717218073000,21.0047988,105.8414344,-76.30048101,21.004933478204755,105.8414031448752,15.322962453149655
19,1717218074000,21.00474441,105.8416665,48.27811803,21.00491283559623,105.8414079499299,32.727295555319564
20,1717218075000,21.00471178,105.8411399,52.28249343,21.00484868094488,105.84139032415828,30.124723474382257
21,1717218076000,21.00481256,105.8414866,21.5028842,21.00482132910937,105.84138784229148,10.297916014098368
22,1717218077000,21.0048429,105.8415281,-12.10943151,21.0047947062906,105.84139015957275,15.288983130088063
23,1717218078000,21.00503225,105.8417621,-23.50860298,21.004750897314107,105.84139647801295,49.185754038617794
24,1717218079000,21.00501975,105.8414046,-23.73158508,21.004769131617216,105.84138141613582,27.97121715519978
25,1717218080000,21.00477025,105.8416255,-178.3716272,21.004730662945413,105.84137977629562,25.884652366703236
26,1717218081000,21.00481193,105.8416026,-11.80567041,21.004694485077348,105.84139050760604,25.598249350175376
27,1717218082000,21.00470338,105.8413231,-12.11120376,21.004650884700425,105.84138462832652,8.652574348268113
28,1717218083000,21.0046967,105.8417433,-40.91211494,21.00461535419617,105.84138186809793,38.5937987735705
29,1717218084000,21.00472309,105.8409622,127.6503799,21.004592961526672,105.84136554136022,44.29909804819753
30,1717218085000,21.00463922,105.8412933,147.7992651,21.00457307897116,105.84136527713515,10.484047811300234
31,1717218086000,21.0044246,105.8411533,-25.01946781,21.004537891284738,105.84134828362582,23.840591816192664
32,1717218087000,21.00456776,105.8415604,-158.1489143,21.004513446484463,105.84134122941006,23.539218234276916
33,1717218088000,21.00462887,105.8413434,8.253743386,21.00449301152953,105.84133481569953,15.133031630303366
34,1717218089000,21.0046059,105.841103,-33.23205034,21.004462436944543,105.84132819314468,28.300823986053214
35,1717218090000,21.00425248,105.8414226,132.423104,21.004432179652262,105.84132044535804,22.621211070328876
36,1717218091000,21.00466231,105.8410348,103.8402844,21.00444137843976,105.84130826559456,37.5414153925904
37,1717218092000,21.00440506,105.8414076,-76.25642487,21.00439910123477,105.8413024486343,10.935470541772345
38,1717218093000,21.00426861,105.8411124,-100.2567051,21.004356528937745,105.84130411327374,22.17262604560042
39,1717218094000,21.00431534,105.8407357,92.29974747,21.004306038143945,105.84127417997324,55.90724077826467
40,1717218095000,21.00403617,105.8413766,-78.97369306,21.00425737117073,105.8412797835892,26.570496201776486
41,1717218096000,21.00407563,105.8415716,-98.48750298,21.004206997049685,105.84128476638244,33.16530241254309
42,1717218097000,21.00418793,105.8412279,19.34563294,21.004158384481126,105.84128590084237,6.85886910073529
43,1717218098000,21.00396615,105.8409798,96.30031449,21.00410971973292,105.84127718819072,34.75437080188879
44,1717218099000,21.0039438,105.8413899,71.22496836,21.004066799156963,105.8412764078138,18.05144682454647
45,1717218100000,21.00395191,105.8411187,7.479943729,21.00402415206677,105.84127708535848,18.298896452919244
46,1717218101000,21.00408656,105.8415814,-117.9003694,21.003986152007148,105.84127687420828,33.525500100998805
47,1717218102000,21.00361394,105.8412755,60.69486979,21.00393735763532,105.84127089547782,35.96557654389431
48,1717218103000,21.00402418,105.8408262,72.44187131,21.00390182678116,105.8412655973448,47.598167724760906
49,1717218104000,21.00412232,105.841035,42.24699231,21.003874653774915,105.8412579762481,35.97451112844035
50,1717218105000,21.00377553,105.8414479,-140.5640143,21.003841314949582,105.8412531215837,21.501843393246666
51,1717218106000,21.00385608,105.8412177,-95.40926737,21.003811739425508,105.8412490278588,5.906360127129181
52,1717218107000,21.003646,105.8413561,59.56665813,21.003787542930034,105.8412474260184,19.364266348969956
53,1717218108000,21.00399556,105.8415926,34.88143591,21.00377553800261,105.84124921248753,43.23406534977459
