,utcTimeMillis,Latitude_1,Longitude_1,WKT,Latitude_2,Longitude_2,Distance
0,1717828001000.0,21.00512666666667,105.84470666666668,POINT (105.84455899341987 21.00570169871385),21.00570169871385,105.84455899341988,65.7525222362173
1,1717828002000.0,21.005111666666668,105.84470833333334,POINT (105.84451837004522 21.005646653179987),21.005646653179987,105.84451837004522,62.670935278452866
2,1717828003000.0,21.005078333333337,105.84472333333332,POINT (105.84450801609141 21.005637523383665),21.005637523383665,105.8445080160914,66.07430731238377
3,1717828004000.0,21.005046666666665,105.84473833333335,POINT (105.84451087330875 21.005634618202127),21.005634618202127,105.84451087330876,69.51037128478256
4,1717828005000.0,21.00502,105.844755,POINT (105.84451869454176 21.005608676873695),21.005608676873692,105.84451869454176,69.90313385775106
5,1717828006000.0,21.005005,105.84478166666668,POINT (105.84453767531991 21.005613363482393),21.005613363482396,105.84453767531993,72.2329543970673
6,1717828007000.0,21.00500333333333,105.84481,POINT (105.84459014493183 21.00555310366559),21.00555310366559,105.84459014493184,65.25285346774844
7,1717828008000.0,21.005006666666667,105.84484166666668,POINT (105.84465598591397 21.005438632622),21.005438632622,105.84465598591396,51.75547328213163
8,1717828009000.0,21.005005,105.84488000000002,POINT (105.84460611079076 21.005234099158425),21.005234099158425,105.84460611079076,38.17456473994852
9,1717828010000.0,21.00500333333333,105.84491666666666,POINT (105.84465925045961 21.005344690136173),21.005344690136173,105.8446592504596,46.41952784106674
10,1717828011000.0,21.00500333333333,105.84494833333336,POINT (105.8447877157521 21.005344250031637),21.00534425003164,105.8447877157521,41.412828553513656
11,1717828012000.0,21.00500333333333,105.84497166666668,POINT (105.84484648332734 21.00536316720729),21.00536316720729,105.84484648332734,42.06899025798192
12,1717828013000.0,21.005006666666667,105.84499,POINT (105.84494604978427 21.005277541178526),21.00527754117853,105.84494604978428,30.463439322367186
13,1717828015000.0,21.005018333333336,105.84504833333334,POINT (105.84500488500552 21.00528446129152),21.00528446129152,105.84500488500552,29.93380924676154
14,1717828016000.0,21.005033333333337,105.84509833333335,POINT (105.84511290702751 21.005285696962268),21.005285696962268,105.84511290702751,28.102305031410992
15,1717828017000.0,21.005041666666664,105.845145,POINT (105.84521089526268 21.005343969623826),21.005343969623823,105.84521089526268,34.303471549697875
16,1717828018000.0,21.00505,105.84518166666666,POINT (105.84529980808931 21.005296554434533),21.005296554434533,105.84529980808932,30.033567916234585
17,1717828019000.0,21.005045000000003,105.84523,POINT (105.84538045971715 21.005187073718655),21.005187073718652,105.84538045971716,22.21516444285096
18,1717828020000.0,21.00503833333333,105.84528666666664,POINT (105.84540498037582 21.005181996553656),21.005181996553656,105.84540498037582,20.15012616650361
19,1717828021000.0,21.005025,105.84533333333331,POINT (105.84543760599573 21.005173768345532),21.00517376834553,105.84543760599573,19.768880414372045
20,1717828022000.0,21.00501333333333,105.84538166666668,POINT (105.84547226998767 21.005166874337018),21.005166874337014,105.84547226998768,19.492142826680368
21,1717828023000.0,21.00502,105.84541833333331,POINT (105.84523193106098 21.00475329695535),21.00475329695535,105.84523193106098,35.410306415780546
22,1717828024000.0,21.005015000000004,105.84544499999998,POINT (105.84542821027419 21.00468356329331),21.00468356329331,105.8454282102742,36.89526862105437
23,1717828026000.0,21.005018333333336,105.84551833333336,POINT (105.84532991702049 21.004916422623637),21.00491642262364,105.84532991702048,22.60436423178183
24,1717828027000.0,21.00502,105.84555166666664,POINT (105.84547902648686 21.004805586542915),21.004805586542915,105.84547902648686,25.005700197723154
25,1717828028000.0,21.005005,105.84558333333334,POINT (105.8454986125647 21.00479421421986),21.00479421421986,105.8454986125647,25.03393693638711
26,1717828029000.0,21.004966666666665,105.845605,POINT (105.84555152199582 21.00478651180017),21.00478651180017,105.84555152199582,20.787272297463016
27,1717828031000.0,21.004866666666665,105.845615,POINT (105.84546580019014 21.00472415875134),21.00472415875134,105.84546580019014,22.157934820052798
28,1717828032000.0,21.004815,105.845615,POINT (105.84546139151627 21.004679802761974),21.004679802761974,105.84546139151628,21.914776584761555
29,1717828033000.0,21.00476833333333,105.84561833333332,POINT (105.84546197535732 21.004670178424064),21.004670178424064,105.84546197535732,19.559273323043094
30,1717828034000.0,21.004715,105.84562,POINT (105.84542334825076 21.004638579234985),21.004638579234985,105.84542334825076,22.111689573893404
31,1717828035000.0,21.00466666666667,105.845615,POINT (105.84544344180833 21.004611687515574),21.00461168751557,105.84544344180831,18.82888922875342
32,1717828036000.0,21.004628333333336,105.84561666666666,POINT (105.8454309759627 21.004592110415093),21.004592110415093,105.8454309759627,19.692167633022898
33,1717828037000.0,21.00458833333333,105.84560666666668,POINT (105.84540943397404 21.004518960000773),21.004518960000773,105.84540943397404,21.878968144630086
34,1717828038000.0,21.00454666666667,105.84560333333332,POINT (105.84538810429852 21.004458186644957),21.00445818664496,105.84538810429852,24.41243920272388
35,1717828039000.0,21.00449833333333,105.84559,POINT (105.84536598156679 21.00439526929979),21.00439526929979,105.8453659815668,25.92506884039089
36,1717828040000.0,21.004436666666667,105.84557333333332,POINT (105.84534336146965 21.00434615390252),21.00434615390252,105.84534336146965,25.907403469144548
37,1717828041000.0,21.004386666666665,105.84554833333335,POINT (105.84533258058413 21.004277352724664),21.004277352724664,105.84533258058411,25.48237998729373
38,1717828042000.0,21.004338333333333,105.84551833333336,POINT (105.845440492447 21.00408012222032),21.00408012222032,105.845440492447,29.827138140575098
39,1717828043000.0,21.00429166666667,105.84548,POINT (105.84539660030337 21.003991856944907),21.003991856944907,105.84539660030336,34.44311322523011
