,t_k,x_k,y_k,z_k
277,-75301.634651716,109254657.84548627,4799295.116242914,236712739.94218013
278,-75301.629168937,-147496859.34944195,185352688.42459404,-58405983.6858336
279,-75301.631975135,-41647243.042303815,78762768.68695512,251980086.36691716
280,-75301.625300025,-120075802.13130471,161129273.88313907,142456833.40410748
281,-75300.625203957,-72933224.06014888,-179952192.47587174,-161799782.39193565
282,-75300.628353646,8786794.401096176,-10767987.356547631,-269894480.7477928
283,-75300.63521128599,-91288953.1029994,-220046828.393999,7996429.168025402
284,-75300.63465281199,109252919.04843517,4799289.947333785,236709765.0265637
285,-75300.629167333,-147495068.03039795,185350233.50560966,-58404913.625294596
286,-75300.631976361,-41646567.54607692,78761440.88732086,251976882.56308338
287,-75300.625300106,-120074222.31549896,161126934.94505772,142455215.30744466
288,-75299.62520457599,-72932258.8440424,-179950053.68471447,-161797406.2055715
289,-75299.628351365,8786524.141643511,-10768145.734113099,-269890921.0210979
290,-75299.63521352799,-91287617.59809023,-220043985.67557228,7996629.214694001
291,-75299.63465391299,109251180.25138904,4799284.778424681,236706790.1109631
292,-75299.629165793,-147493276.71147233,185347778.5867824,-58403843.564824075
293,-75299.631977778,-41645892.049979046,78760113.08794114,251973678.75985968
294,-75299.625300335,-120072642.49992889,161124596.00732347,142453597.21102038
295,-75298.62520515699,-72931293.6279011,-179947914.89347506,-161795030.01911798
296,-75298.628349123,8786253.882199518,-10768304.111671459,-269887361.2945408
297,-75298.635215864,-91286282.09330754,-220041142.95741278,7996829.261341002
298,-75298.634655021,109249441.4543514,4799279.609515613,236703815.19538432
299,-75298.62916426599,-147491485.3925737,185345323.66798705,-58402773.504367456
300,-75298.631979224,-41645216.55390076,78758785.28860085,251970474.956727
301,-75297.625205819,-72930328.41183987,-179945776.1024079,-161792653.83285794
302,-75297.628346869,8785983.62275042,-10768462.489230787,-269883801.5679401
303,-75297.63521810599,-91284946.58840023,-220038300.23898605,7997029.308004011
304,-75297.634656107,109247702.65727173,4799274.440606432,236700840.279741
305,-75297.629162744,-147489694.07368776,185342868.74920398,-58401703.4439162
306,-75297.631980682,-41644541.05783057,78757457.48927742,251967271.15363094
307,-75296.625206431,-72929363.19573222,-179943637.3112329,-161790277.6464799
308,-75296.628344575,8785713.36328865,-10768620.86679552,-269880241.8411961
309,-75296.635220411,-91283611.083578,-220035457.52073845,7997229.354651624
310,-75296.63465722,109245963.8602353,4799269.27169739,236697865.3641789
311,-75296.629161222,-147487902.75480556,185340413.8304209,-58400633.38346495
312,-75295.625207015,-72928397.97959942,-179941498.5199971,-161787901.4600363
313,-75295.628342303,8785443.10383096,-10768779.244355839,-269876682.1145295
314,-75295.63522278599,-91282275.57885018,-220032614.8026898,7997429.401282442
315,-75295.634658335,109244225.06319861,4799264.102788358,236694890.44862366
316,-75295.629159729,-147486111.43597904,185337958.91170904,-58399563.32304472
317,-75295.625300879,-120066323.2370795,161115240.25552565,142447124.82471204
318,-75294.62520760999,-72927432.76347908,-179939359.72878385,-161785525.2736198
319,-75294.62834006699,8785172.844381137,-10768937.621909523,-269873122.3879901
320,-75294.63522507499,-91280940.07400845,-220029772.0843967,7997629.447927668
321,-75294.63465942799,109242486.26611994,4799258.933879213,236691915.53300396
322,-75294.629158183,-147484320.1170613,185335503.99286705,-58398493.26256777
323,-75294.631984622,-41642514.56932688,78753474.09073648,251957659.74294108
324,-75294.625300919,-120064743.42122017,161112901.31735402,142445506.7279773
325,-75293.62520834099,-72926467.54749188,-179937220.93786058,-161783149.08752736
326,-75293.628337776,8784902.584914591,-10769095.999470985,-269869562.66125405
327,-75293.635227334,-91279604.56912757,-220026929.36601833,7997829.494576101
328,-75293.63466056499,109240747.46911408,4799253.764970295,236688940.61751604
329,-75293.62915667899,-147482528.79822248,185333049.07412815,-58397423.20213577
330,-75293.631986123,-41641839.07328574,78752146.29147387,251954455.93997532
331,-75293.625300887,-120063163.60524893,161110562.37901485,142443888.63112512
332,-75292.625208837,-72925502.33127972,-179935082.14643374,-161780772.90087748
333,-75292.62833553199,8784632.325458879,-10769254.377024075,-269866002.9346842
334,-75292.635229494,-91278269.06411542,-220024086.64735848,7998029.541241546
335,-75292.63466165299,109239008.67201927,4799248.596061124,236685965.70188332
336,-75292.629155002,-147480737.47907755,185330594.1549646,-58396353.14151865
337,-75292.63198737899,-41641163.5770791,78750818.49188687,251951252.13622272
338,-75292.625301304,-120061583.78998889,161108223.44172683,142442270.53499854
339,-75291.62520944599,-72924537.1151785,-179932943.35524765,-161778396.71449703
340,-75291.62833326799,8784362.065995902,-10769412.754579399,-269862443.20804244
341,-75291.635231904,-91276933.55943806,-220021243.92940935,7998229.587854186
342,-75291.63466273999,109237269.87491901,4799243.427151947,236682990.78624853
343,-75291.62915356799,-147478946.16037157,185328139.23639753,-58395283.08116156
344,-75291.631988665,-41640488.08089276,78749490.69234066,251948048.33256444
345,-75291.625301294,-120060003.97405617,161105884.50344104,142440652.4381801
346,-75290.62521008399,-72923571.89910713,-179930804.56412265,-161776020.5281864
347,-75290.62833096199,8784091.806519713,-10769571.132140445,-269858883.4812501
348,-75290.63523416899,-91275598.05456798,-220018401.21104798,7998429.63449304
349,-75290.63466387999,109235531.07790716,4799238.258243045,236680015.87077236
350,-75290.62915210999,-147477154.84162638,185325684.31777158,-58394213.020778775
351,-75290.631989993,-41639812.58473475,78748162.89285113,251944844.52903885
352,-75290.625301451,-120058424.1583891,161103545.56554675,142439034.34163094
353,-75289.62521068999,-72922606.68300673,-179928665.7729283,-161773644.3418007
354,-75289.628328719,8783821.547058692,-10769729.509690579,-269855323.75468117
355,-75289.635236401,-91274262.54965478,-220015558.49259284,7998629.681135699
356,-75289.634664987,109233792.28083424,4799233.089333972,236677040.95519897
357,-75289.62915052699,-147475363.52266097,185323229.39883876,-58393142.960262254
358,-75289.63199140999,-41639137.088636875,78746835.09348072,251941640.72579646
359,-75289.625301585,-120056844.34268756,161101206.6275996,142437416.24504364
360,-75288.62521126299,-72921641.46687633,-179926526.98166242,-161771268.15533745
361,-75288.62832644899,8783551.2875885,-10769887.887244062,-269851764.0280151
362,-75288.63523869899,-91272927.04483064,-220012715.77432528,7998829.727762362
363,-75288.63466611,109232053.48378538,4799227.920424982,236674066.03967407
364,-75288.629149071,-147473572.2039268,185320774.48021773,-58392072.899881616
365,-75288.63199282899,-41638461.59254035,78745507.29411389,251938436.92255867
366,-75288.62530175799,-120055264.5270495,161098867.6897446,142435798.1485185
367,-75287.625211939,-72920676.25084724,-179924388.19061592,-161768891.96911997
368,-75287.628324204,8783281.028123211,-10770046.264792653,-269848204.30143714
369,-75287.635241054,-91271591.54008357,-220009873.05621982,7999029.774374826
370,-75287.634667243,109230314.6867502,4799222.751516043,236671091.12417984
371,-75287.629147463,-147471780.88492405,185318319.56122354,-58391002.83933833
372,-75287.631994165,-41637786.096387774,78744179.4946378,251935233.11905313
373,-75287.625301838,-120053684.71126638,161096528.751673,142434180.05184197
374,-75286.625212573,-72919711.03477944,-179922249.39947867,-161766515.78280354
375,-75286.628321967,8783010.768658217,-10770204.642339043,-269844644.5748868
376,-75286.635243254,-91270256.03513041,-220007030.33767372,7999229.821015506
377,-75286.634668339,109228575.88964698,4799217.5826069135,236668116.20857653
378,-75286.629145926,-147469989.56605226,185315864.64240363,-58389932.77887103
379,-75286.63199547399,-41637110.600216925,78742851.69512676,251932029.3154592
380,-75286.62530195799,-120052104.89554833,161094189.8136959,142432561.9552292
381,-75285.62521310999,-72918745.81861989,-179920110.608133,-161764139.59625757
382,-75285.62831965499,8782740.509171093,-10770363.019896384,-269841084.8480684
383,-75285.63524553999,-91268920.53029305,-220004187.61937204,7999429.867636189
384,-75285.63466943099,109226837.09253302,4799212.413697763,236665141.2929622
385,-75285.629144394,-147468198.2471931,185313409.72359604,-58388862.71840906
386,-75285.63199683,-41636435.10407786,78741523.89567906,251928825.51201397
387,-75285.625302185,-120050525.08000118,161091850.87597004,142430943.85878867
