utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
1718050446000,169561238000000,18,0.0,-1401916102188428347,-0.9452133178710938,870.221178047359,-7.800519710765855,36.428475998685215,796.0,07,0.0,16399,159263344410935.0,17.0,32.0,-511.9829406738281,0.2000000029802322,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,28.4,0.0,0.0,0.0,0.0,C,1390209933459884,GPS,1.4020856634264284e+18,1.402085663344411e+18,24588238.71654349,5.096471786,G,G07,2024-06-10 20:14:06+00:00,3,13686357.578276152,10304712.478563743,20920034.682098776,-2289.296170303175,1085.4131373059936,941.5312843253586,-29024.598162037542,0.003340080739229911
1718050446000,169561238000000,18,0.0,-1401916102188428347,-0.9452133178710938,870.221178047359,-7.800519710765855,36.428475998685215,796.0,08,0.0,16399,159263359985022.0,61.0,22.4,-115.56534576416016,1.055000066757202,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,18.8,0.0,0.0,0.0,0.0,C,1390209933459884,GPS,1.4020856634264284e+18,1.402085663359985e+18,19919266.17897216,18.287339938,G,G08,2024-06-10 20:14:06+00:00,3,-6477417.9562901715,24625859.895854607,6616955.5997651955,-266.11117783345435,-886.8503953509094,3032.3055560896214,66978.6821442159,0.005521357956694744
1718050446000,169561238000000,18,0.0,-1401916102188428347,-0.9452133178710938,870.221178047359,-7.800519710765855,36.428475998685215,796.0,16,0.0,16399,159263351874270.0,46.0,23.6,415.2207946777344,0.9569999575614928,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,20.0,0.0,0.0,0.0,0.0,C,1390209933459884,GPS,1.4020856634264284e+18,1.4020856633518743e+18,22350760.490487296,13.790453068,G,G16,2024-06-10 20:14:06+00:00,3,-12730923.146791484,8650583.971725687,21353982.90851522,-2084.895697547004,-1847.1727067918705,-443.6573900952848,-80307.43765718225,0.003135586000101951
1718050446000,169561238000000,18,0.0,-1401916102188428347,-0.9452133178710938,870.221178047359,-7.800519710765855,36.428475998685215,796.0,21,0.0,16399,159263349336866.0,61.0,22.2,-567.4367065429688,1.0099999904632568,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,18.6,0.0,0.0,0.0,0.0,C,1390209933459884,GPS,1.4020856634264284e+18,1.4020856633493368e+18,23111475.45847347,18.287339938,G,G21,2024-06-10 20:14:06+00:00,3,-11144984.926202621,18075425.62982954,-14838018.433354227,-1887.512800132446,729.2371825326618,2341.433124104199,34858.97376212695,-0.0007157315869778379
1718050446000,169561238000000,18,0.0,-1401916102188428347,-0.9452133178710938,870.221178047359,-7.800519710765855,36.428475998685215,796.0,27,0.0,16399,159263357824764.0,53.0,22.7,324.4411926269531,1.027999997138977,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,19.1,0.0,0.0,0.0,0.0,C,1390209933459884,GPS,1.4020856634264284e+18,1.4020856633578248e+18,20566856.261686783,15.889000274,G,G27,2024-06-10 20:14:06+00:00,3,-12575796.670465684,16944064.980308075,15576546.918623768,-26.230241289607363,-2060.1100218067577,2220.7391903282837,-8314.121341634625,-0.0004089894782739068
1718050447000,169562238000000,18,0.0,-1401916102188428280,-0.2939414978027344,157.6308422954753,-7.053141370568596,16.30581865408372,796.0,07,0.0,16399,159264344412640.0,17.0,32.3,-511.6165771484375,0.2000000029802322,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,28.7,0.0,0.0,0.0,0.0,C,1390210933459817,GPS,1.402085664426428e+18,1.4020856643444127e+18,24587624.7415895,5.096471786,G,G07,2024-06-10 20:14:07+00:00,4,13684068.1584755,10305798.050724508,20920976.034229644,-2289.340941306624,1085.5940937479575,941.1095022068256,-29024.598162037542,0.003340080739229911
1718050447000,169562238000000,18,0.0,-1401916102188428280,-0.2939414978027344,157.6308422954753,-7.053141370568596,16.30581865408372,796.0,08,0.0,16399,159264359985475.0,46.0,24.0,-115.2513656616211,0.8449999690055847,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,20.4,0.0,0.0,0.0,0.0,C,1390210933459817,GPS,1.402085664426428e+18,1.4020856643599854e+18,19919035.938364416,13.790453068,G,G08,2024-06-10 20:14:07+00:00,4,-6477684.142742528,24624972.818134245,6619987.9285745425,-266.1332038031385,-887.2196608583981,3032.1606528483176,66978.6821442159,0.005521357956694744
1718050447000,169562238000000,18,0.0,-1401916102188428280,-0.2939414978027344,157.6308422954753,-7.053141370568596,16.30581865408372,796.0,21,0.0,16399,159264349338711.0,53.0,23.4,-566.713623046875,0.9299999475479126,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,19.8,0.0,0.0,0.0,0.0,C,1390210933459817,GPS,1.402085664426428e+18,1.4020856643493386e+18,23110861.483519487,15.889000274,G,G21,2024-06-10 20:14:07+00:00,4,-11146872.394087799,18076154.844172634,-14835676.750632662,-1887.2101920716686,729.1941737474674,2341.77333255459,34858.97376212695,-0.0007157315869778379
1718050447000,169562238000000,18,0.0,-1401916102188428280,-0.2939414978027344,157.6308422954753,-7.053141370568596,16.30581865408372,796.0,27,0.0,16399,159264357823697.0,53.0,22.6,326.6771545410156,1.022000074386597,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,19.0,0.0,0.0,0.0,0.0,C,1390210933459817,GPS,1.402085664426428e+18,1.4020856643578235e+18,20567086.50229453,15.889000274,G,G27,2024-06-10 20:14:07+00:00,4,-12575822.98361966,16942004.64222021,15578767.550529743,-26.319773404084515,-2060.3903861352937,2220.3949897883604,-8314.121341634625,-0.0004089894782739068
1718050447000,169562238000000,18,0.0,-1401916102188428280,-0.2939414978027344,157.6308422954753,-7.053141370568596,16.30581865408372,796.0,31,0.0,16399,159264346558445.0,92.0,19.5,390.5872802734375,1.9255000352859497,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,-1.64,15.9,0.0,0.0,0.0,0.0,C,1390210933459817,GPS,1.402085664426428e+18,1.4020856643465585e+18,23944332.483552765,27.580906136,G,G31,2024-06-10 20:14:07+00:00,4,-24950952.64989586,9691457.216761515,-943140.4913311193,-18.134962159381992,-284.63417951279195,-3131.2753669166955,-68191.96088322283,6.816491304555121e-05
