utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,05,0.0,47,533975704689595.0,74.0,31.08300018310547,-1991.57418277074,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,12.855480646200926,1,6.0,31.08300018310547,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757046897e+18,23776640.574245885,22.184641892,G,G05,2024-06-08 04:19:17+00:00,0,6330164.8310292605,22861935.1290576,-12035832.771851985,-332.580849808322,1478.8261262244826,2682.684156056048,-52629.57749925495,-0.0004089894782739068
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,06,0.0,47,533975711689689.0,58.0,34.180999755859375,-1084.127398142379,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,16.43996581365934,1,6.0,34.180999755859375,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757116897e+18,21678074.181528576,17.387962564,G,G06,2024-06-08 04:19:17+00:00,0,-5970900.048927853,13708604.200077076,22000308.374183618,-2193.6839779630272,-1695.1287040129323,472.671079171688,69128.5489695827,-0.006237089543687572
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,11,0.0,47,533975711115190.0,58.0,32.928001403808594,-1381.50140196143,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,15.009814579888728,1,6.0,32.928001403808594,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757111153e+18,21850294.156121086,17.387962564,G,G11,2024-06-08 04:19:17+00:00,0,7036885.517119629,20227916.187823184,15767707.203746652,-1638.8109708939546,-1150.9389386930545,2205.526016756873,-204073.03717494686,-0.002522101782688093
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,12,0.0,47,533975706108155.0,58.0,33.35200119018555,-1858.7566325040752,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,15.490896477381924,1,6.0,33.35200119018555,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.401855575706108e+18,23351386.17174272,17.387962564,G,G12,2024-06-08 04:19:17+00:00,0,11609362.687366048,12695125.843346072,19968481.989769377,-623.2999336596813,2522.5460922769735,-1219.3413509216027,-153566.52296665945,-0.0009543087826401152
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,14,0.0,47,533975705693103.0,51.0,36.435001373291016,-643.0450621285886,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,18.947476982723444,1,6.0,36.435001373291016,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757056932e+18,23475792.84679373,15.289415358,G,G14,2024-06-08 04:19:17+00:00,0,-13189178.527907727,18002607.37544563,-14202624.115066681,22.66114803980753,-1840.3727090623759,-2368.9713556756983,125965.16456346941,0.002760678978347372
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,17,0.0,47,533975710524390.0,58.0,33.79800033569336,-1188.0081380386453,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,15.999431245034042,1,6.0,33.79800033569336,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757105244e+18,22027425.930345472,17.387962564,G,G17,2024-06-08 04:19:17+00:00,0,-21433612.49738294,13590255.4937228,8526037.197254272,-1033.9532444642032,129.19172862263525,-2934.8199024911,209129.4122671104,-0.0015337105435256515
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,19,0.0,47,533975714641231.0,51.0,38.05500030517578,-1352.2869560957572,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,20.71561958822689,1,6.0,38.05500030517578,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757146412e+18,20793259.525968384,15.289415358,G,G19,2024-06-08 04:19:17+00:00,0,-14512917.524949972,15464515.768525772,15559057.695172668,-1999.1043105290992,371.3416044514179,-2247.529412828938,147900.08826217728,0.0016018754565733013
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,20,0.0,47,533975712688803.0,58.0,33.069000244140625,-1728.8328840663323,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,15.173153785343256,1,6.0,33.069000244140625,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.401855575712689e+18,21378531.15085363,17.387962564,G,G20,2024-06-08 04:19:17+00:00,0,2258863.2499236567,26501906.353030607,-1483882.2558932838,-280.5153981743291,207.9945596992623,3143.6385488865403,112143.75450324918,-0.00013632982609110243
1717820357000,2013000000,18,33353073.878863223,-1401855573771000064,0.0,257.747917236904,-4434.746105509401,0.0,0.0,22,0.0,47,533975711317371.0,58.0,34.270999908447266,-845.7445258076535,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,16.539290962754315,1,6.0,34.270999908447266,0.0,0.0,0.0,66.7128,C,0,GPS,1.401855575784e+18,1.4018555757113172e+18,21789740.876284413,17.387962564,G,G22,2024-06-08 04:19:17+00:00,0,-10019514.548975836,23763995.72172958,-6537031.267833512,-52.14190092919439,-911.858820109039,-3012.0409217639713,-7324.763796680764,-0.0014996280870033258
1717820358000,3013000000,18,24056499.11312979,-1401855573767000064,0.0,141.95612906837124,-4438.322611207789,0.0,0.0,06,0.0,47,533976707693301.0,74.0,31.929000854492188,-1084.7539363433943,0.14999,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,13.852499018933496,1,6.0,31.929000854492188,0.0,0.0,0.0,66.7128,C,0,GPS,1.40185557678e+18,1.4018555767076933e+18,21676999.725359105,22.184641892,G,G06,2024-06-08 04:19:18+00:00,1,-5973085.127168762,13706915.839683173,22000778.937843744,-2193.835910202368,-1695.0264854041047,472.2070686273768,69128.5489695827,-0.006237089543687572
