utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters
1717764867000,804000000,0,0.0,-1401800084538000678,0.0,1.0000000828119999E9,0.0,0.0,43.0,25,0.0,17,857188.0,13.0,38.46992492675781,-690.9974029611103,0.15,16,15.21211719578275,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,0.0,33.46992492675781,-1.8917489103726217,1.0,-1.8917489103726217,1.0,C,349569222170735,GPS,1.40180008534200064E18,1.40182921800085709E18,-8.733751406650015E12,3.8973019539999996,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,12,0.0,17,84704.0,14.0,40.00522994995117,-479.9108781555408,0.15,16,-197.81462910843393,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,33.93330383300781,35.00522994995117,-0.6984919076624261,1.0,-0.6984919076624261,1.0,C,349569507259273,GPS,1.40180008561471898E18,1.40182921800008474E18,-8.733669416204419E12,4.197094412,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,18,0.0,17,874301.0,91.0,26.11151885986328,332.13173244459153,5.752137192810213,16,154.1233316357267,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,1,0.0,1,33.93330383300781,21.11151885986328,-0.08731148845780326,1.0,-0.08731148845780326,1.0,C,349569507259273,GPS,1.40180008561471898E18,1.40182921800087424E18,-8.733669652891764E12,27.281113677999997,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,23,0.0,17,486408.0,28.0,34.191070556640625,-362.39306843680356,5.7594425543505245,16,-198.62919829899062,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,33.93330383300781,29.191068649291992,-0.20372681261465636,1.0,-0.20372681261465636,1.0,C,349569507259273,GPS,1.40180008561471898E18,1.4018292180004864E18,-8.733669536620257E12,8.394188824,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,25,0.0,17,857882.0,18.0,38.46992492675781,-690.9974029611103,0.15,16,-192.77809282618986,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,33.93330383300781,33.46992492675781,-1.8917489103726217,1.0,-1.8917489103726217,1.0,C,349569507259273,GPS,1.40180008561471898E18,1.40182921800085786E18,-8.733669647979964E12,5.396264243999999,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,3,0.0,16,2.20419318E8,1.0E9,35.25133514404297,-368.4262767255584,2.99792458E8,16,-162.1285833778564,3.4028234663852886E38,1.60481254E9,0,0.0,0.0,0,0.0,3,51.712730407714844,30.25133514404297,0.0,2.0000000474974513,0.0,2.0000000474974513,C,349569507259273,GLONASS,1.40180008561471898E18,1.40182921822041933E18,-8.733735470853337E12,2.99792458E8,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,194,0.0,17,530046.0,21.0,37.0401611328125,-246.54610002541233,0.15,16,-133.60715498942122,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,4,33.93330383300781,32.0401611328125,0.0,1.0,0.0,1.0,C,349569507259273,QZSS,1.40180008561471898E18,1.40182921800052992E18,-8.733669549667225E12,6.295641617999999,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,195,0.0,17,866398.0,14.0,41.42848587036133,-183.61001521215155,0.15,16,-103.16404667012952,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,4,33.93330383300781,36.42848587036133,0.0,1.0,0.0,1.0,C,349569507259273,QZSS,1.40180008561471898E18,1.4018292180008663E18,-8.73366965051261E12,4.197094412,
1717764867000,1105000000,0,0.0,-1401800084509719016,0.0,5.000008229411424E8,0.0,0.0,43.0,196,0.0,17,590193.0,23.0,36.012901306152344,-422.54434389249855,0.15,16,-237.47840257084226,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,4,33.93330383300781,31.012901306152344,0.0,1.0,0.0,1.0,C,349569507259273,QZSS,1.40180008561471898E18,1.40182921800059008E18,-8.733669567702739E12,6.895226534,
1717764868000,2105000000,0,0.0,-1401800084507647714,0.0,5.0000012724354804E8,0.0,0.0,43.0,12,0.0,17,86254.0,15.0,42.2735595703125,-479.20690501606214,0.15,16,-868.7193364919215,3.4028234663852886E38,1.57542003E9,0,0.0,0.0,0,0.0,1,35.604225158691406,37.2735595703125,-0.6984919076624261,1.0,-0.6984919076624261,1.0,C,349570558672003,GPS,1.40180008661264768E18,1.40182921800008627E18,-8.733370245165819E12,4.49688687,
