utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,5,0.0,16399,3.66298345193013E14,8.0,40.2,-334.0176696777344,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,36.6,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789834519296E18,2.1350595290447358E7,2.398339664,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,6,0.0,16399,3.66298340497598E14,53.0,22.7,222.88145446777344,1.746500015258789,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,19.099999999999998,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789834049766E18,2.2758209619324926E7,15.889000273999999,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,11,0.0,16399,3.66298343636482E14,24.0,29.2,24.584505081176758,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,25.599999999999998,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789834363648E18,2.1817216255475197E7,7.195018992,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,12,0.0,16399,3.66298343218382E14,11.0,37.1,-34.815696716308594,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,33.5,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789834321843E18,2.1942543892957184E7,3.297717038,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,17,0.0,16399,3.66298338611565E14,13.0,35.1,436.7998046875,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,31.5,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789833861146E18,2.3323680551944192E7,3.8973019539999996,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,19,0.0,16399,3.66298344903842E14,24.0,29.1,335.1990966796875,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,25.5,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789834490394E18,2.143724250582835E7,7.195018992,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,20,0.0,16399,3.6629834804928E14,16.0,32.7,25.747474670410156,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,29.1,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789834804941E18,2.0494253723378174E7,4.796679328,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,25,0.0,16399,3.6629833820093E14,12.0,35.6,-267.4248046875,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,1,0.09,32.0,0.0,0.0,0.0,0.0,C,992444502045526,GPS,1.40168789841641088E18,1.40168789833820083E18,2.3446782530217983E7,3.597509496,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,194,0.0,16399,3.66298295697584E14,16.0,32.7,50.686283111572266,0.20000000298023224,16,-0.0,1902.9177342976868,1.57542003E9,0,0.0,0.0,0,0.0,4,0.09,29.1,0.0,0.0,0.0,0.0,C,992444502045526,QZSS,1.40168789841641088E18,1.40168789829569766E18,3.618891173772492E7,4.796679328,
1717652680000,469592228000000,18,0.0,-1401218306188410856,-0.39595985412597656,52.610332204494625,-2.5841420736252605,11.206133265868202,425.0,195,0.0,16399,3.66298284182159E14,27.0,28.2,-147.52516174316406,0.6225000023841858,16,0.0,0.0,1.57542003E9,0,0.0,0.0,0,0.0,4,0.09,24.599999999999998,0.0,0.0,0.0,0.0,C,992444502045526,QZSS,1.40168789841641088E18,1.40168789828418227E18,3.964113941023846E7,8.094396366,
