utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,SignalType,ArrivalTimeNanosSinceGpsEpoch,ReceivedSvTimeNanosSinceGpsEpoch,RawPseudorangeMeters,RawPseudorangeUncertaintyMeters,Constellation,SvName,GpsWeekNum,UnixTime,Epoch,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,SvVelocityXEcefMetersPerSecond,SvVelocityYEcefMetersPerSecond,SvVelocityZEcefMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,13,0.0,16399,541620336460763.0,70,21.5,-577.23681640625,1.8504999876022337,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,17.9,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220336460800,22118535.023432803676,20.985472060,G,G13,2317,2024-06-08 06:26:42+00:00,1,-11932381.282100134,21755941.51700539,-9344753.44549651,-975.2834912417313,676.8179676325936,2908.397629780879,196784.849034806,0.0007838965000254878
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,19,0.0,16399,541620334113825.0,27,28.4,576.1426391601562,0.6375000476837158,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,24.8,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220334113792,22822150.320698467676,8.094396366,G,G19,2317,2024-06-08 06:26:42+00:00,1,-20216893.05458963,15408410.214971509,-7127839.390624915,385.8708628492028,-848.3991126463457,-3041.5521949073836,147911.67520680247,0.0016018754565733013
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,20,0.0,16399,541620340567283.0,24,29.5,216.2831573486328,0.0925000011920929,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,25.9,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220340567296,20887438.493825635676,7.195018992,G,G20,2317,2024-06-08 06:26:42+00:00,1,-3276827.9143370306,18657915.185296416,18738274.603492003,-1458.5274062933604,-1865.096310402403,1592.7226521515945,112142.91689271489,-0.00013632982609110243
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,25,0.0,16399,541620333097459.0,27,27.7,47.58293151855469,0.6859999895095825,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,24.1,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220333097472,23126835.391613027676,8.094396366,G,G25,2317,2024-06-08 06:26:42+00:00,1,16299965.594684515,18813533.30167187,9289215.929212108,279.3123049527223,1218.8476820693877,-2829.827444856662,149004.89644778578,0.0001704122826140279
1717828002000,455855440000000,18,0.0,-1401407364970240291,-0.193,53.55147004593164,1.4117074077670662,13.046710559847606,517.0,29,0.0,16399,541620328105219.0,70,20.9,-656.0564575195312,1.928500056266785,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.66,17.299999999999997,0.0,0.0,0.0,0.0,C,1167766917271828,GPS,1401863220410240291.222,1401863220328105216,24623476.088818275676,20.985472060,G,G29,2317,2024-06-08 06:26:42+00:00,1,12911702.646967474,7797276.991475937,21814880.167447016,-1769.1150005580143,2142.548524577476,268.91617081766293,-178428.75559176708,0.0004771543913185587
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,05,0.0,16399,541621340976780.0,19,31.5,-59.05546951293945,0.0421999990940094,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,27.9,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221340976896,20764643.503028835676,5.696056702,G,G05,2317,2024-06-08 06:26:43+00:00,2,3550541.895736073,23682321.303413205,11211755.390826473,-861.8297776696238,-1190.444050579534,2751.7161784530317,-52632.50913582519,-0.0004089894782739068
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,06,0.0,16399,541621332097899.0,61,21.8,225.2601318359375,1.094499945640564,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,18.2,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221332097792,23426531.916026467676,18.287339938,G,G06,2317,2024-06-08 06:26:43+00:00,2,-22695730.936580032,5830073.860474395,12669753.988480031,-1564.009337354098,-323.34731992886753,-2654.7952508283665,69083.45760688353,-0.006271172000203902
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,12,0.0,16399,541621335700995.0,19,31.0,283.5895080566406,0.064699999988079,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,27.4,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221335700992,22346319.731360867676,5.696056702,G,G12,2317,2024-06-08 06:26:43+00:00,2,10026321.204460667,24583446.600478716,1132544.9100157882,-193.46836856791964,261.6247701070486,-3172.0766339747975,-153573.50305364578,-0.0009543087826401152
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,19,0.0,16399,541621334111910.0,31,27.4,575.53369140625,0.6875,16,0.0,0.0,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,23.8,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221334112000,22822687.548783203676,9.293566198,G,G19,2317,2024-06-08 06:26:43+00:00,2,-20216507.10211822,15407561.597217541,-7130880.946415908,386.0775878202213,-848.7072761489367,-3041.397707832732,147911.67520680247,0.0016018754565733013
1717828003000,455856440000000,18,0.0,-1401407364970240298,-0.628,48.31314436160028,0.1601622489613766,12.18094940686684,517.0,20,0.0,16399,541621340566576.0,16,33.3,216.3653717041016,0.0308999996632337,16,-0.0,1902.9177342976868,1575420030.0,0,0.0,0.0,0,0.0,1,0.03,29.7,0.0,0.0,0.0,0.0,C,1167767917271835,GPS,1401863221410240291.222,1401863221340566528,20887668.734433379676,4.796679328,G,G20,2317,2024-06-08 06:26:43+00:00,2,-3278286.6368301585,18656049.985631313,18739867.17613163,-1458.747808592701,-1865.1774001660492,1592.3278105876873,112142.91689271489,-0.00013632982609110243
